datetime,o,h,l,c,v,address,type
2024-11-11 13:00:00,2.202680333549162,2.649222103093031,1.0868199550003208,2.202680333549162,5050715.370360281,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 14:00:00,2.202680333549162,2.844776464396008,1.8255007948771065,2.113813467731022,1561214.8446516674,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 15:00:00,2.113813467731022,2.910017527024148,1.3550627072949557,1.387529602950571,2016247.3300719983,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 16:00:00,1.387529602950571,1.899253502152932,0.8903122312300359,1.1300680847256037,3807464.5111495666,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 17:00:00,1.1300680847256037,1.1377073850987642,0.5270806814106636,0.8420623803516133,2327064.0703979214,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 18:00:00,0.8420623803516133,1.2412887203565854,0.6531892261256134,0.7181254451111658,3029211.8130908124,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 19:00:00,0.7181254451111658,0.911842376630199,0.3807745431227587,0.5017159955596753,3788680.6934563555,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 20:00:00,0.5017159955596753,0.778770890739127,0.24126956939220426,0.2506470328593963,4543824.8663629545,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 21:00:00,0.2506470328593963,0.2598431753164468,0.11831622020262544,0.11909465630009208,6442752.232099289,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 22:00:00,0.11909465630009208,0.1420948707045386,0.10411133338595847,0.13690421337685332,7343219.482755198,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-11 23:00:00,0.13690421337685332,0.1509624361098731,0.0923801685428565,0.10196348011966244,8410868.298195548,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-12 00:00:00,0.10196348011966244,0.1091890205169466,0.05034406218414026,0.05661106172964792,11073623.58120263,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-12 01:00:00,0.05661106172964792,0.19771104228132688,0.039951246648479655,0.09046168742760514,23831670.908819437,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-12 02:00:00,0.09046168742760514,0.09233082445085486,0.052191935392178125,0.054541993501653306,7692814.526161907,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-12 03:00:00,0.054541993501653306,0.0644135135853691,0.02981732622274509,0.057576350744535376,13937829.772738148,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
2024-11-12 04:00:00,0.057576350744535376,0.057576350744535376,0.041071928753754976,0.0431276523182911,5024577.726198592,HGPeekaweHshP9ytcXYtPK5T4MTVv6rBmnRbgN6GNZpV,1H
