Address,0,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,0,liquidityAddedAt,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,RugCheck_Score,Risk_Status
2qwfhv4uEfxoPzYwv9TbU2BMnxUQR8BaggfU8C8Hspwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-04 17:57:47,2qwfhv4uEfxoPzYwv9TbU2BMnxUQR8BaggfU8C8Hspwd,0.00022855086701476882,21531.24820159555,999999999.9999999,228550.8670147688,999999999.9999999,228550.8670147688,500,LOW RISK
4FSzE4gpv5gXmbkP1znR4CeScMjbYuV63dqEbYxmpump,,4FSzE4gpv5gXmbkP1znR4CeScMjbYuV63dqEbYxmpump,393,,460,,393,,393,,429,,444,,0,0,0,0,0,0,,,,,,,,,403,2024-12-04T17:56:54,1733335014,1,0.0005739115949030678,,,,,,,,,187,,213,,187,,187,,196,,212,,0,0,0,0,0,0,580,,673,,580,,580,,625,,656,,0,0,0,0,0,0,212,,212,,212,,212,,212,,212,,0,0,0,0,0,0,273377392.59514195,,462720.74053840886,329086001.0582069,,521092.37334853644,273377392.59514195,,462720.74053840886,273377392.59514195,,462720.74053840886,290972855.30194193,,485728.01073145797,314488441.40414995,,508312.97956515785,192461162.77972794,,250335.58582504358,221212144.61689094,,280547.786658445,192461162.77972794,,250335.58582504358,192461162.77972794,,250335.58582504358,203455008.80664495,,264329.7172381036,209069365.32459095,,269623.60183402826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80916229.815414,,212385.15471336528,107873856.441316,,240544.58669009144,80916229.815414,,212385.15471336528,80916229.815414,,212385.15471336528,87517846.495297,,221398.29349335437,105419076.079559,,238689.37773112959,0,0,0,0,0,0,0,0,0,0,0,0,,2024-12-04 17:54:51,4FSzE4gpv5gXmbkP1znR4CeScMjbYuV63dqEbYxmpump,0.0005739115949030678,173793.56179790714,1000000000.0,573911.5949030678,1000000000.0,573911.5949030678,6078,LOW RISK
FAW36v47ZBPsiigMtGsFKDod6abthuzmB3MAMq2GtU71,,FAW36v47ZBPsiigMtGsFKDod6abthuzmB3MAMq2GtU71,4513,268.10766721044047,5817,,5739,,2525,27.01207243460765,5775,,5792,,1226,0,0,1988,0,0,0.0002939759331206586,0.00025122355538739023,0.0002939759331206586,0.0002939759331206586,0.0003011128902936249,0.0002939759331206586,0.0002939759331206586,0.0002939759331206586,564,2024-12-04T17:56:54,1733335014,1,0.0004160139800204412,35.02685980154701,58.00527560125656,35.02685980154701,35.02685980154701,31.826462386929382,35.02685980154701,35.02685980154701,35.02685980154701,4486,274.7702589807853,5761,,5683,,2501,25.994962216624685,5717,,5736,,1197,0,0,1985,0,0,8999,271.3990920346678,11578,,11422,,5026,26.50390133400453,11492,,11528,,2423,0,0,3973,0,0,4168,283.0882352941177,5233,,5233,,2319,24.343163538873995,5233,,5233,,1088,0,0,1865,0,0,6000323991.714291,29.353859672435554,1844289.6010869145,10689734374.120052,,2841921.5108907754,10639013557.614357,,2821305.750988596,2375182610.7071986,-34.48027646173199,845084.9124850093,10664290091.482338,,2831585.2961778445,10674425773.320698,,2835702.8464850867,3004430662.698481,8.222739545928867,925939.947104928,5805989569.739629,,1435754.3753920172,5780585355.607012,,1425403.1562112286,1191567787.471712,-34.27148827664877,424983.74964725436,5793312411.455255,,1430591.5991284759,5798336165.606996,,1432637.6561409878,2776154692.908531,499463.2091062991,0,0,0,0,1812862875.2267737,500956.1974576753,0,0,0,0,4638689565.900073,977016.1499016788,0,0,0,0,3625141381.0070934,999204.6886019085,0,0,0,0,2995893329.0158095,60.85032137969609,918349.6539819866,4883744804.380423,,1406167.1354987582,4858428202.007345,,1395902.5947773678,1183614823.2354865,-34.68913197059341,420101.1628377549,4870977680.027082,,1400993.6970493684,4876089607.713703,,1403065.190344099,1862534872.9915419,477552.9407953797,0,0,0,0,1812278505.78032,498248.4911442332,0,0,0,0,,2024-12-04 16:27:34,FAW36v47ZBPsiigMtGsFKDod6abthuzmB3MAMq2GtU71,0.0004160139800204412,59942.91177997585,1000000000.0,416013.98002044123,1000000000.0,416013.98002044123,200,LOW RISK
EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,32,-98.68149979398434,2459,,2459,,5,-81.48148148148148,2459,,2459,,2427,0,0,27,0,0,0.0005925079947247952,2.9346078569084352e-08,0.0005925079947247952,0.0005925079947247952,3.703742723408911e-08,0.0005925079947247952,0.0005925079947247952,0.0005925079947247952,1522,2024-12-04T17:55:30,1733334930,1,3.975998042598415e-08,-99.99322898480543,36.709258299801455,-99.99322898480543,-99.99322898480543,8.319635967983766,-99.99322898480543,-99.99322898480543,-99.99322898480543,15,-97.48743718592965,613,,612,,5,-50,613,,613,,597,0,0,10,0,0,47,-98.4457671957672,3072,,3071,,10,-72.97297297297297,3072,,3072,,3024,0,0,37,0,0,36,-97.83393501805054,1688,,1688,,10,-62.96296296296296,1688,,1688,,1662,0,0,27,0,0,39413935525.01463,-99.5610020544492,1434.0329785173903,9017959063389.375,,1152101.5957154492,9017573383529.498,,1152086.250553717,3947458653.894391,-88.86988784299375,153.76320433417274,9017959063389.375,,1152101.5957154492,9017959063389.375,,1152101.5957154492,24352053978.730602,-99.72616047408106,882.1216885409216,8917171268812.518,,524214.4151902869,8917171268812.518,,524214.4151902869,3297638712.112567,-84.3375431216987,128.01340447697564,8917171268812.518,,524214.4151902869,8917171268812.518,,524214.4151902869,8892819214833.78,523332.29350174585,0,0,0,0,21054415266.618237,754.1082840637429,0,0,0,0,8978159448004.477,1150652.2175751987,0,0,0,0,35466476871.12046,1280.269774183329,0,0,0,0,15061881546.28403,-82.35078463383462,551.9112899764688,100787794576.85753,,627887.1805251623,100402114716.98097,,627871.83536343,649819941.781824,-95.4911381895646,25.749799857197093,100787794576.85753,,627887.1805251623,100787794576.85753,,627887.1805251623,85340233170.69707,627319.9240734528,0,0,0,0,14412061604.502222,526.161490119586,0,0,0,0,,2024-12-04 16:12:59,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,3.975998042598415e-08,5572.02986532199,8888888876174.547,353422.04772544827,8888888876174.547,353422.04772544827,500,LOW RISK
5zZ1b8Yx8ozuTjTAtoALRbvUtDbEoy5cKvYXPdXjEm7T,,5zZ1b8Yx8ozuTjTAtoALRbvUtDbEoy5cKvYXPdXjEm7T,27,-22.857142857142858,675,,62,-89.86928104575163,17,70,675,,675,,35,0,612,10,0,0,8.72343011567982e-06,0.0002017396468146114,8.72343011567982e-06,0.00032872309469095907,0.00014196614501110126,8.72343011567982e-06,8.72343011567982e-06,8.72343011567982e-06,269,2024-12-04T17:56:45,1733335005,1,0.0002641526955671279,2003.2812279812074,-9.05195336851151,2003.2812279812074,-44.184551976293136,29.24086094244906,2003.2812279812074,2003.2812279812074,2003.2812279812074,17,-39.285714285714285,738,,45,-93.5064935064935,8,-11.11111111111111,738,,738,,28,0,693,9,0,0,44,-30.158730158730158,1413,,107,-91.80076628352491,25,31.57894736842105,1413,,1413,,63,0,1305,19,0,0,32,-28.888888888888886,414,,70,-82.09718670076727,15,-25,414,,414,,45,0,391,20,0,0,38603516.22781107,-27.349786905647083,6116.402939302784,2723155859.3146567,,355563.27675706183,91739652.494439,-96.50952732294571,16887.1282925218,21272028.032008138,22.736303955495206,3535.23683514762,2723155859.3146567,,355563.27675706183,2723155859.3146567,,355563.27675706183,23193888.098258264,78.47591640346499,3756.6929437918407,1747730184.396118,,188729.57355563762,36189416.3273022,-97.8816926009767,6362.780277555901,19393113.054640125,410.24101221711754,3208.6738552043703,1747730184.396118,,188729.57355563762,1747730184.396118,,188729.57355563762,12995528.22904456,2606.087333764337,0,0,1708411930.39256,181764.4699094468,3800775.043615659,548.0190885873362,0,0,0,0,53136136.26662812,10770.725353219379,0,0,2628287369.1439614,338073.8250959051,17331488.195800226,2581.166104154743,0,0,0,0,15409628.1295528,-61.61087516381216,2359.7099955109434,975425674.9185388,,166833.7032014242,55550236.16713681,-93.96111323044582,10524.348014965899,1878914.9773680118,-86.11370327465218,326.5629799432494,975425674.9185388,,166833.7032014242,975425674.9185388,,166833.7032014242,40140608.03758355,8164.638019455042,0,0,919875438.7514014,156309.35518645833,13530713.152184566,2033.147015567407,0,0,0,0,,2024-12-04 14:02:41,5zZ1b8Yx8ozuTjTAtoALRbvUtDbEoy5cKvYXPdXjEm7T,0.0002641526955671279,47956.53651390712,864999999.9974049,228492.08166488016,864999999.9974049,228492.08166488016,500,LOW RISK
8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,164,80.21978021978022,2528,,255,-43.584070796460175,117,148.93617021276594,705,-17.447306791569087,1561,61.427094105480876,91,0,452,47,854,967,2.9515738248976116e-05,0.0006023700496814445,2.9515738248976116e-05,0.0005155636571089462,0.0006223524028072156,0.0004717788192188822,0.00044934228028077974,0.0005274689240082855,370,2024-12-04T17:56:53,1733335013,1,0.0014825243427612433,3460.3454786199263,74.45459859507427,3460.3454786199263,103.82783730751814,68.85324897737017,122.74468658186306,133.8667644567217,99.22732968666918,137,204.44444444444443,1365,,182,-18.01801801801802,98,151.28205128205127,403,-10.244988864142538,855,67.97642436149313,45,0,222,39,449,509,301,121.3235294117647,3893,,437,-35.16320474777448,215,150,1108,-14.965464313123562,2416,63.68563685636857,136,0,674,86,1303,1476,215,55.79710144927537,3225,,344,-49.633967789165446,150,102.7027027027027,1005,-13.881748071979436,2131,78.62531433361274,138,0,683,74,1167,1193,50302360.460464716,346.18377918070416,44092.78688060995,751975925.8380382,,279742.82438905176,61576271.079275385,21.76351040012275,50148.259793838486,37728666.125885546,200.06030942017986,35912.396454861686,111933074.53039193,-8.248380626036102,74139.57315452475,234456968.93407345,-54.64395405089177,132105.89580040835,27374505.133529734,308.25284663050394,23819.892500381076,416234309.270206,,146174.54767647904,34079787.25451526,32.71150466131583,27445.82983058581,21552579.341828406,270.19673752197207,19987.912223774598,59652441.98706443,-1.128891362743025,39668.557799977934,120036142.27630714,-59.47438044787773,68162.87496971898,6705282.120985549,3625.937330204738,0,0,25679602.79064578,12273.652913833135,5821925.791701287,3831.9802766065036,60333542.133041255,28443.85777297654,296198166.9938986,78011.67270676012,11273910.618810795,6055.472913228554,0,0,50570380.95972413,24092.75960919783,12573694.334579056,8180.390425748294,121995748.18856534,57433.30935697838,516925503.59690964,147065.7669277187,22927855.32693498,401.8542290722275,20272.894380228874,335741616.56783223,,133568.27671257276,27496483.824760128,10.468558427469434,22702.42996325267,16176086.784057137,139.5829578773222,15924.484231087086,52280632.5433275,-15.214462978747296,34471.01535454681,114420826.65776633,-48.16191396194945,63943.02083068937,4568628.497825247,2429.5355830238154,0,0,24890778.169078354,11819.106695364695,6751768.542877769,4348.41014914179,61662206.05552409,28989.451584001843,220727336.6030111,69054.09422095858,,2024-12-04 05:55:19,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,0.0014825243427612433,34130.11473220819,999999999.9956166,1482524.3427547447,999999999.9956166,1482524.3427547447,500,LOW RISK
