Address,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
F7yfAfhifwyB7y2CLdGdkcWzC97vUt7sMFSDBEYzxm9J,F7yfAfhifwyB7y2CLdGdkcWzC97vUt7sMFSDBEYzxm9J,191,,192,,192,,191,,192,,192,,0,0,0,0,0,0,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,0.00040422970405313663,538,2024-10-24T05:07:56,1729746476,1,0.0005186641209970175,28.30925481142728,28.30925481142728,28.30925481142728,28.30925481142728,28.30925481142728,28.30925481142728,28.30925481142728,28.30925481142728,139,,140,,140,,139,,140,,140,,0,0,0,0,0,0,330,,332,,332,,330,,332,,332,,0,0,0,0,0,0,183,,183,,183,,183,,183,,183,,0,0,0,0,0,0,536994707.2874551,,117934.02018110862,538280088.5825531,,118582.6754690787,538280088.5825531,,118582.6754690787,536994707.2874551,,117934.02018110862,538280088.5825531,,118582.6754690787,538280088.5825531,,118582.6754690787,459982435.6421291,,81829.72128541349,460398876.6018641,,82040.0608100582,460398876.6018641,,82040.0608100582,459982435.6421291,,81829.72128541349,460398876.6018641,,82040.0608100582,460398876.6018641,,82040.0608100582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77012271.64532602,,36104.29889569514,77881211.98068902,,36542.61465902051,77881211.98068902,,36542.61465902051,77012271.64532602,,36104.29889569514,77881211.98068902,,36542.61465902051,77881211.98068902,,36542.61465902051,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-24 04:56:50,0.0005186641209970175,118639.21530907744,999999786.913687,518664.01047679223,999999786.913687,518664.01047679223
AHLay166DoVa5xKKv1Ke1jf9zkypNCUdBVtW4SXfpump,AHLay166DoVa5xKKv1Ke1jf9zkypNCUdBVtW4SXfpump,6000,,6020,,6020,,6000,,6020,,6020,,0,0,0,0,0,0,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,0.00010874881340943453,1296,2024-10-24T05:07:56,1729746476,1,0.00020920158999010438,92.37137715008397,92.37137715008397,92.37137715008397,92.37137715008397,92.37137715008397,92.37137715008397,92.37137715008397,92.37137715008397,5197,,5215,,5215,,5197,,5215,,5215,,0,0,0,0,0,0,11197,,11235,,11235,,11197,,11235,,11235,,0,0,0,0,0,0,3181,,3181,,3181,,3181,,3181,,3181,,0,0,0,0,0,0,11898650793.890781,,6480957.0858135875,12045285211.698387,,6516665.927518668,12045285211.698387,,6516665.927518668,11898650793.890781,,6480957.0858135875,12045285211.698387,,6516665.927518668,12045285211.698387,,6516665.927518668,5988262977.732967,,3249114.2310780017,6057637314.235339,,3266118.380895299,6057637314.235339,,3266118.380895299,5988262977.732967,,3249114.2310780017,6057637314.235339,,3266118.380895299,6057637314.235339,,3266118.380895299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5910387816.157815,,3231842.8547355854,5987647897.463049,,3250547.5466233687,5987647897.463049,,3250547.5466233687,5910387816.157815,,3231842.8547355854,5987647897.463049,,3250547.5466233687,5987647897.463049,,3250547.5466233687,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-24 04:46:38,0.00020920158999010438,59704.930895239486,1000000000.0,209201.58999010437,1000000000.0,209201.58999010437
wGVjXYciac5tNkq1sPreutUTYwTAkkwxnsLKkjTpump,wGVjXYciac5tNkq1sPreutUTYwTAkkwxnsLKkjTpump,2629,,2650,,2650,,2629,,2650,,2650,,0,0,0,0,0,0,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,0.00014005490402851112,1070,2024-10-24T05:07:56,1729746476,1,0.0010786052483934467,670.1302970254251,670.1302970254251,670.1302970254251,670.1302970254251,670.1302970254251,670.1302970254251,670.1302970254251,670.1302970254251,2365,,2385,,2385,,2365,,2385,,2385,,0,0,0,0,0,0,4994,,5035,,5035,,4994,,5035,,5035,,0,0,0,0,0,0,1625,,1625,,1625,,1625,,1625,,1625,,0,0,0,0,0,0,7930415836.417896,,2943552.18513822,7964285720.405218,,2986240.607166865,7964285720.405218,,2986240.607166865,7930415836.417896,,2943552.18513822,7964285720.405218,,2986240.607166865,7964285720.405218,,2986240.607166865,4043043928.528425,,1497677.7206976232,4059204048.5666394,,1518109.9003739727,4059204048.5666394,,1518109.9003739727,4043043928.528425,,1497677.7206976232,4059204048.5666394,,1518109.9003739727,4059204048.5666394,,1518109.9003739727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3887371907.8894706,,1445874.4644405965,3905081671.8385787,,1468130.7067928922,3905081671.8385787,,1468130.7067928922,3887371907.8894706,,1445874.4644405965,3905081671.8385787,,1468130.7067928922,3905081671.8385787,,1468130.7067928922,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-24 04:39:32,0.0010786052483934467,119772.37235909693,1000000000.0,1078605.2483934467,1000000000.0,1078605.2483934467
E5B5yyJWgNSQCHELcPWHsHPmpxj97rTnifNo28RXpump,E5B5yyJWgNSQCHELcPWHsHPmpxj97rTnifNo28RXpump,4582,24.207102195716995,8271,,8271,,1232,-63.223880597014926,8271,,8271,,3689,0,0,3350,0,0,0.00016377317370112584,0.0029454722493928547,0.00016377317370112584,0.00016377317370112584,0.0003386238668833917,0.00016377317370112584,0.00016377317370112584,0.00016377317370112584,1181,2024-10-24T05:07:56,1729746476,2,0.00020215706492345342,23.437227449945745,-93.13668411015844,23.437227449945745,23.437227449945745,-40.30040859669584,23.437227449945745,23.437227449945745,23.437227449945745,4156,36.48604269293925,7205,,7205,,950,-70.36805988771054,7205,,7205,,3045,0,0,3206,0,0,8738,29.75942975942976,15476,,15476,,2182,-66.71751067724222,15476,,15476,,6734,0,0,6556,0,0,3017,33.96980461811723,3863,,3863,,948,-63.27005036807439,3863,,3863,,2252,0,0,2581,0,0,7888737341.110474,70.97698271653837,3297678.587379476,12505822169.498089,,8592681.601289112,12505822169.498089,,8592681.601289112,1562988367.0176823,-75.29164730660472,628689.0456506782,12505822169.498089,,8592681.601289112,12505822169.498089,,8592681.601289112,3903992612.3835497,64.04444112305471,1635341.9956938266,6283831018.1574135,,4303867.202821591,6283831018.1574135,,4303867.202821591,758761377.7374136,-75.87581576262772,308222.4616287679,6283831018.1574135,,4303867.202821591,6283831018.1574135,,4303867.202821591,2379838405.773864,2668525.2071277625,0,0,0,0,3145231234.64614,1327119.5340650638,0,0,0,0,4613917742.477161,5294378.775411623,0,0,0,0,6325748974.092796,2668989.541728805,0,0,0,0,3984744728.7269244,78.36182732019634,1662336.5916856495,6221991151.340675,,4288814.398467521,6221991151.340675,,4288814.398467521,804226989.2802687,-74.71395995357072,320466.5840219104,6221991151.340675,,4288814.398467521,6221991151.340675,,4288814.398467521,2234079336.703298,2625853.5682838606,0,0,0,0,3180517739.4466558,1341870.0076637408,0,0,0,0,2024-10-24 03:57:35,0.00020215706492345342,57319.64265683015,999999423.634024,202156.9484069994,999999423.634024,202156.9484069994
QxJM6mtMSgmLHhpAgQgakNUVku84vfeok3RTMnSpump,QxJM6mtMSgmLHhpAgQgakNUVku84vfeok3RTMnSpump,9533,1329.2353823088456,10239,,10239,,9108,2043.0588235294117,10239,,10239,,667,0,0,425,0,0,7.0057678173692e-05,3.063154148196909e-05,7.0057678173692e-05,7.0057678173692e-05,0.00010025885815374468,7.0057678173692e-05,7.0057678173692e-05,7.0057678173692e-05,5191,2024-10-24T05:07:56,1729746476,1,0.0002812038245550407,301.3890152880318,818.0204813413263,301.3890152880318,301.3890152880318,180.4777849392829,301.3890152880318,301.3890152880318,301.3890152880318,3056,1011.2727272727274,3350,,3350,,2912,1922.2222222222222,3350,,3350,,275,0,0,144,0,0,12589,1236.411889596603,13589,,13589,,12020,2012.4780316344463,13589,,13589,,942,0,0,569,0,0,6658,2164.625850340136,6842,,6842,,6536,3656.32183908046,6842,,6842,,294,0,0,174,0,0,6245858382.008166,356.6713790862922,933039.1201748424,7624237911.544712,,1068549.4023106843,7624237911.544712,,1068549.4023106843,5116228900.987792,352.91212622800595,888797.1329015833,7624237911.544712,,1068549.4023106843,7624237911.544712,,1068549.4023106843,3246377922.3972416,431.7577841052697,477448.13543761004,3862698865.8653727,,542558.7441350413,3862698865.8653727,,542558.7441350413,2577874222.4982595,285.61854225904665,449451.2433969144,3862698865.8653727,,542558.7441350413,3862698865.8653727,,542558.7441350413,610499370.095647,63449.185768552394,0,0,0,0,668503699.8989854,27996.892040695395,0,0,0,0,1367692101.5949972,132466.24615448265,0,0,0,0,1129629481.02038,44241.987273258754,0,0,0,0,2999480459.6109247,296.1317026474255,455590.98473723244,3761539045.679339,,525990.658175643,3761539045.679339,,525990.658175643,2538354678.4895325,450.4690438944017,439345.889504669,3761539045.679339,,525990.658175643,3761539045.679339,,525990.658175643,757192731.4993502,69017.06038593025,0,0,0,0,461125781.12139463,16245.09523256336,0,0,0,0,2024-10-24 03:51:27,0.0002812038245550407,60166.06938180976,1000000000.0,281203.82455504074,1000000000.0,281203.82455504074
CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,1148,-10.382513661202186,2431,,2431,,340,-57.920792079207914,2431,,2431,,1281,0,0,808,0,0,1.628659093926315e-05,1.3957890239966665e-05,1.628659093926315e-05,1.628659093926315e-05,1.0802774185543185e-05,1.628659093926315e-05,1.628659093926315e-05,1.628659093926315e-05,556,2024-10-24T05:07:52,1729746472,7,1.3947518219151397e-05,-14.361954130454627,-0.07430937367288534,-14.361954130454627,-14.361954130454627,29.110522719401704,-14.361954130454627,-14.361954130454627,-14.361954130454627,947,-4.536290322580645,1945,,1945,,330,-46.51539708265802,1945,,1945,,992,0,0,617,0,0,2095,-7.831060272767268,4376,,4376,,670,-52.98245614035088,4376,,4376,,2273,0,0,1425,0,0,564,-27.599486521181,1118,,1118,,239,-44.93087557603687,1118,,1118,,779,0,0,434,0,0,132517733564.26758,4.9123642659711395,2288519.636371601,260092216083.37982,,4800641.439183477,260092216083.37982,,4800641.439183477,29980782605.26966,-70.76099657258364,519151.74096059846,260092216083.37982,,4800641.439183477,260092216083.37982,,4800641.439183477,66258604041.89872,13.650677134358135,1149952.357235061,124589609472.03003,,2330811.3053623796,124589609472.03003,,2330811.3053623796,14951230866.134909,-70.85948872315797,259630.64734183016,124589609472.03003,,2330811.3053623796,124589609472.03003,,2330811.3053623796,58300228131.12466,1180436.2812915535,0,0,0,0,51307373175.763916,890321.7098932303,0,0,0,0,126312789242.18314,2495613.423421391,0,0,0,0,102536950958.99796,1769367.895411001,0,0,0,0,66259129522.36885,-2.5780996334286295,1138567.27913654,135502606611.34978,,2469830.1338210977,135502606611.34978,,2469830.1338210977,15029551739.134752,-70.66235485537518,259521.0936187683,135502606611.34978,,2469830.1338210977,135502606611.34978,,2469830.1338210977,68012561111.05847,1315177.1421298373,0,0,0,0,51229577783.23403,879046.1855177707,0,0,0,0,2024-10-24 03:45:25,1.3947518219151397e-05,421295.28836473374,99999945537.64642,1394751.062300471,99999945537.64642,1394751.062300471
GSYHpdDjCPqhhiUF96Hq9RD4wsS1rT9Y936jURd58HoD,GSYHpdDjCPqhhiUF96Hq9RD4wsS1rT9Y936jURd58HoD,5998,305.5442866801893,7767,,7493,2634.6715328467153,3097,6.756290934160634,7767,,7767,,1479,0,274,2901,0,0,6.262799094204588e-06,1.9857800928061764e-05,6.262799094204588e-06,1.1279135026132377e-05,1.9445392299115567e-05,6.262799094204588e-06,6.262799094204588e-06,6.262799094204588e-06,255,2024-10-24T05:07:55,1729746475,1,0.0002717612376549483,4239.293558154025,1268.5364187074354,4239.293558154025,2309.41558927445,1297.5610955779423,4239.293558154025,4239.293558154025,4239.293558154025,5572,161.9652092148566,7925,,7708,3452.073732718894,2366,-26.200873362445414,7925,,7925,,2127,0,217,3206,0,0,11570,220.8541320022185,15692,,15201,2995.926680244399,5463,-10.54527591288685,15692,,15692,,3606,0,491,6107,0,0,251,0.8032128514056224,253,,251,68.45637583892618,248,0,253,,253,,249,0,149,248,0,0,18669254497.244087,5.715055752206622,970892.1156031594,41681232150.30101,,1365553.0756577053,36337643176.04085,580.0231707767512,1323384.1686841925,2312675902.309996,-85.86088228117423,432207.3645549355,41681232150.30101,,1365553.0756577053,41681232150.30101,,1365553.0756577053,9395228260.68174,6.427897517230144,494308.4410721853,21291439432.526054,,696371.0109988109,18228402403.03293,495.1087834563143,671400.7769874795,1182009911.7970786,-85.6084440765222,221328.64118860618,21291439432.526054,,696371.0109988109,21291439432.526054,,696371.0109988109,8827787149.66224,175528.01849138725,0,0,3063037029.4931192,24970.234011331315,8213218348.884684,272979.7998835793,0,0,0,0,17659976967.71247,350053.146899728,0,0,5343588974.260165,42168.90697351279,16356578594.934128,538684.7510482249,0,0,0,0,9274026236.562347,5.002569324417577,476583.6745309742,20389792717.774952,,669182.0646588944,18109240773.007923,694.0727162370225,651983.3916967128,1130665990.5129175,-86.11548603586053,210878.7233663293,20389792717.774952,,669182.0646588944,20389792717.774952,,669182.0646588944,8832189818.050234,174525.12840834074,0,0,2280551944.767046,17198.672962181477,8143360246.049443,265704.95116464555,0,0,0,0,2024-10-24 02:55:05,0.0002717612376549483,57647.642959359844,1000000000.0,271761.2376549483,1000000000.0,271761.2376549483
83iXkqNE3dot7KjGuHHrmuvMTsDCMpP7qCGjdAe2zorQ,83iXkqNE3dot7KjGuHHrmuvMTsDCMpP7qCGjdAe2zorQ,1,,2,,1,0,1,,2,,2,,0,0,1,0,0,0,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,0.0007458887573806594,4,2024-10-24T05:07:37,1729746457,1,0.0010442281687719059,39.9978426325832,39.9978426325832,39.9978426325832,39.9978426325832,39.9978426325832,39.9978426325832,39.9978426325832,39.9978426325832,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,1,,2,,1,0,1,,2,,2,,0,0,1,0,0,0,1,0,2,,1,0,1,,2,,2,,1,0,1,0,0,0,28680733.01843075,,29949.22931887188,28778987.794492025,,30022.516451694937,28680733.01843075,29090.166797127982,29949.22931887188,28680733.01843075,,29949.22931887188,28778987.794492025,,30022.516451694937,28778987.794492025,,30022.516451694937,28680733.01843075,,29949.22931887188,28778987.794492025,,30022.516451694937,28680733.01843075,29090.166797127982,29949.22931887188,28680733.01843075,,29949.22931887188,28778987.794492025,,30022.516451694937,28778987.794492025,,30022.516451694937,0,0,0,0,98254.776061275,73.28713282305937,0,0,0,0,0,0,0,0,0,0,98254.776061275,73.28713282305937,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-24 02:31:48,0.0010442281687719059,180029.75628060158,1000000000.0,1044228.1687719058,1000000000.0,1044228.1687719058
F9yDnURRaLPETZJmEb5PaSb6DqaQw8oSfKFQd7PUpump,F9yDnURRaLPETZJmEb5PaSb6DqaQw8oSfKFQd7PUpump,48,71.42857142857143,555,,78,-83.64779874213836,35,169.23076923076923,555,,555,,28,0,477,13,0,0,0.00020496924972651106,0.00024163585350463575,0.00020496924972651106,0.00023335105535636668,0.0002787523659852864,0.00020496924972651106,0.00020496924972651106,0.00020496924972651106,100,2024-10-24T05:06:55,1729746415,1,0.0002793763816831736,36.30160721959192,15.618761715679655,36.30160721959192,19.723641813626436,0.2238602336814297,36.30160721959192,36.30160721959192,36.30160721959192,8,-50,409,,24,-93.76623376623377,2,-66.66666666666666,409,,409,,16,0,385,6,0,0,56,27.27272727272727,964,,102,-88.16705336426914,37,94.73684210526315,964,,964,,44,0,862,19,0,0,24,-29.411764705882355,364,,54,-83.63636363636363,11,-31.25,364,,364,,34,0,330,16,0,0,18590395.90698316,-18.9656948675715,5042.462833581205,702297941.635065,,373224.27309797716,41759993.21290916,-93.67788129165592,10189.655702179483,8269445.808571244,-19.87708757701094,2287.623260853079,702297941.635065,,373224.27309797716,702297941.635065,,373224.27309797716,13355780.560671339,-22.64101430451555,3609.0187840735643,404717028.3941281,,194276.45632189017,30848666.953048352,-91.7487891101184,7523.750678096409,5120633.881138251,-37.81976107523956,1419.248480936656,404717028.3941281,,194276.45632189017,404717028.3941281,,194276.45632189017,17264679.003477335,3850.841488330346,0,0,373868361.44108015,186752.70564379386,8235146.679533251,2189.77030313692,0,0,0,0,22941389.917026155,5083.302462905883,0,0,660537948.4221561,363034.61739579774,10320950.098412242,2754.8395727280695,0,0,0,0,5234615.346311819,-7.787882348946695,1433.4440495076406,297580913.2409369,,178947.81677608698,10911326.259860806,-96.19376217241312,2665.9050240830757,3148811.9274329925,50.963983419171434,868.374779916423,297580913.2409369,,178947.81677608698,297580913.2409369,,178947.81677608698,5676710.913548818,1232.4609745755372,0,0,286669586.98107594,176281.9117520039,2085803.418878992,565.0692695911496,0,0,0,0,2024-10-24 02:26:45,0.0002793763816831736,56905.874997678795,1000000000.0,279376.3816831736,1000000000.0,279376.3816831736
N2jAJu9ymjNwvKuSWJ4EvmS94MsxkNGL64g2xPPpump,N2jAJu9ymjNwvKuSWJ4EvmS94MsxkNGL64g2xPPpump,279,3.717472118959108,2136,,551,-49.86351228389445,133,-8.904109589041095,1650,239.50617283950618,2136,,269,0,1099,146,486,0,7.924434857062166e-05,0.00020779679340940222,7.924434857062166e-05,0.00023234048497452792,0.00022200788211287862,0.00021825314387883301,7.924434857062166e-05,7.924434857062166e-05,267,2024-10-24T05:07:52,1729746472,1,0.00023647015969656087,198.4063393313422,13.798753010912082,198.4063393313422,1.7774236472329386,6.514308161513377,8.346736955982337,198.4063393313422,198.4063393313422,239,-7.722007722007722,2030,,498,-55.61497326203209,122,4.273504273504273,1620,295.1219512195122,2030,,259,0,1122,117,410,0,518,-1.893939393939394,4166,,1049,-52.76902296262944,255,-3.041825095057034,3270,264.95535714285717,4166,,528,0,2221,263,896,0,63,16.666666666666664,1445,,99,-91.46551724137932,41,5.128205128205128,1227,351.1029411764706,1445,,54,0,1160,39,272,0,324766896.51961994,-23.429396898335302,74445.01034203774,3346011328.8282204,,698900.1430845272,750200057.0016091,-47.51979761082924,167094.22051451262,162337834.1476586,-0.05616496393488353,38968.028135735265,2179691604.0014606,86.88628491858994,513409.8108101025,3346011328.8282204,,698900.1430845272,165710933.47874677,-20.71058108102646,38055.72736397589,1720276795.4061325,,356051.9215665375,376510968.30725133,-47.45544528991575,84086.39006514009,82067806.42562301,-1.8833832294427346,19740.30154593691,1093066604.537606,74.27436933446275,258036.92857813835,1720276795.4061325,,356051.9215665375,208995015.6503077,45600.743787085295,0,0,716555636.2303554,173950.53851299788,83643127.05312301,18315.425818039235,627210190.8685273,98014.99298839916,0,0,424140444.71925974,92331.6673716555,0,0,1429491546.9998493,346315.59029558965,162429062.37195957,35476.98220630249,1166319724.826764,185490.33227442455,0,0,159055963.0408732,-26.070489282903946,36389.282978061856,1625734533.422088,,342848.22151798964,373689088.6943577,-47.58447666200131,83007.83044937252,80270027.72203557,1.8837022080058714,19227.72658979836,1086624999.4638546,101.55922517000637,255372.88223196418,1625734533.422088,,342848.22151798964,215145429.06895205,46730.923584570206,0,0,712935910.769494,172365.05178259173,78785935.31883657,17161.556388263256,539109533.9582368,87475.3392860254,0,0,2024-10-23 23:35:37,0.0002298946847521607,53643.75153048937,999999956.385106,229894.6747253284,999999956.385106,229894.6747253284
