Address,0,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,0,liquidityAddedAt,0_market,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,RugCheck_Score,Risk_Status
GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,,GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,84,,85,,84,,84,,84,,84,,0,0,0,0,0,0,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,178,2024-12-04T22:48:30,1733352510,1,0.00025167348288480945,20.43119297986006,20.43119297986006,20.43119297986006,20.43119297986006,20.43119297986006,20.43119297986006,20.43119297986006,20.43119297986006,69,,71,,69,,69,,69,,70,,0,0,0,0,0,0,153,,156,,153,,153,,153,,154,,0,0,0,0,0,0,69,,69,,69,,69,,69,,69,,0,0,0,0,0,0,10024247737.542137,,20571.406611039984,10027025661.760323,,21241.06578104853,10024247737.542137,,20571.406611039984,10024247737.542137,,20571.406611039984,10024247737.542137,,20571.406611039984,10026089117.598944,,21019.310380216928,9997120432.949883,,14172.544124940769,9997950744.127047,,14368.744307165036,9997120432.949883,,14172.544124940769,9997120432.949883,,14172.544124940769,9997120432.949883,,14172.544124940769,9997120432.949883,,14172.544124940769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27127304.592255097,,6398.862486099214,29074917.633275084,,6872.321473883497,27127304.592255097,,6398.862486099214,27127304.592255097,,6398.862486099214,27127304.592255097,,6398.862486099214,28968684.649062004,,6846.766255276158,0,0,0,0,0,0,0,0,0,0,0,0,,2024-12-04 22:29:50,,GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,0.0002231020651120144,15192.040610057375,9999999893.590603,2231020.627379988,9999999893.590603,2231020.627379988,500,LOW RISK
JCcQUUQ3pgckiKKtCGbF3q1CVj6suejBEHi1X92fomo,,JCcQUUQ3pgckiKKtCGbF3q1CVj6suejBEHi1X92fomo,233,,234,,233,,60,-65.3179190751445,233,,233,,0,0,0,173,0,0,5.187182224661036e-05,5.187182224661036e-05,5.187182224661036e-05,5.187182224661036e-05,0.00035478914755124964,5.187182224661036e-05,5.187182224661036e-05,5.187182224661036e-05,728,2024-12-04T22:48:03,1733352483,1,0.00032647320828681697,466.4115738628515,466.4115738628515,466.4115738628515,466.4115738628515,-17.187995516146486,466.4115738628515,466.4115738628515,466.4115738628515,121,,121,,121,,43,-44.871794871794876,121,,121,,0,0,0,78,0,0,354,,355,,354,,103,-58.964143426294825,354,,354,,0,0,0,251,0,0,177,,177,,177,,75,-42.74809160305343,177,,177,,0,0,0,131,0,0,428578058.7008629,,79018.2595513695,429560969.34539783,,79315.12927938177,428578058.7008629,,79018.2595513695,44235748.081541955,-88.49053386543329,15800.616205337157,428578058.7008629,,79018.2595513695,428578058.7008629,,79018.2595513695,296221410.91563684,,44291.97246866118,297204321.56017184,,44588.84219667346,296221410.91563684,,44291.97246866118,22029583.108935945,-91.96563103825753,7891.223439287634,296221410.91563684,,44291.97246866118,296221410.91563684,,44291.97246866118,0,0,0,0,0,0,274191827.80670094,36400.74902937353,0,0,0,0,0,0,0,0,0,0,384342310.619321,63217.6433460323,0,0,0,0,132356647.78522602,,34726.28708270831,132356647.78522602,,34726.28708270831,132356647.78522602,,34726.28708270831,22206164.972606014,-79.8401564790401,7909.392766049523,132356647.78522602,,34726.28708270831,132356647.78522602,,34726.28708270831,0,0,0,0,0,0,110150482.81262001,26816.894316658774,0,0,0,0,,2024-12-04 21:55:21,,JCcQUUQ3pgckiKKtCGbF3q1CVj6suejBEHi1X92fomo,0.00032647320828681697,23748.271636591362,1000000000.0,326473.20828681695,1000000000.0,326473.20828681695,600,LOW RISK
BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,,BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,531,-46.579476861167,1529,,1525,,174,-51.532033426183844,1527,,1527,,994,0,0,359,0,0,0.00029325080015913453,0.0013587727848373432,0.00029325080015913453,0.00029325080015913453,0.0011215015857230786,0.00029325080015913453,0.00029325080015913453,0.00029325080015913453,727,2024-12-04T22:48:34,1733352514,1,0.0018496468308413512,351.0333405358656,-2.657832504039024,351.0333405358656,351.0333405358656,17.936425319731228,351.0333405358656,351.0333405358656,351.0333405358656,472,-20.938023450586265,1072,,1069,,193,-31.071428571428573,1069,,1070,,597,0,0,280,0,0,1003,-36.95788812067882,2601,,2594,,367,-42.56651017214397,2596,,2597,,1591,0,0,639,0,0,513,-27.027027027027028,1034,,1034,,248,-27.058823529411764,1034,,1034,,703,0,0,340,0,0,175409426.21268225,-81.2853567636457,238045.3826741018,1113202766.3514404,,852620.4274026713,1112693797.5863194,,851941.4809769514,67581414.92757091,-37.75660388746442,90710.88059212154,1112951309.4905045,,852285.7256455014,1113069113.1211505,,852443.0876750781,85694430.191569,-87.38412159202137,116595.14979167611,765248304.0348313,,444583.9207674276,764952959.9612722,,444189.36834857677,33378974.762166757,-37.147601220349664,44940.065382958346,765210471.8654573,,444533.61301712674,765210471.8654573,,444533.61301712674,679258529.7697022,327594.21855690045,0,0,0,0,53106922.58411279,72835.25323304131,0,0,0,0,937284371.3736362,613896.0983028496,0,0,0,0,108576040.42906694,148466.55414962716,0,0,0,0,89714996.02111325,-65.23022831223841,121450.23288242567,347954462.31660914,,408036.5066352437,347740837.62504715,,407752.11262837466,34202440.165404156,-38.339671705243376,45770.81520916319,347740837.62504715,,407752.11262837466,347858641.25569314,,407909.4746579513,258025841.60393408,286301.8797459492,0,0,0,0,55469117.84495415,75631.30091658584,0,0,0,0,,2024-12-04 21:04:31,,BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,0.0018397260266834528,82140.16285381117,999999972.59049,1839725.976257464,999999972.59049,1839725.976257464,500,LOW RISK
9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,,9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,136,-55.84415584415584,613,,444,162.72189349112426,53,-36.904761904761905,612,,613,,308,0,169,84,0,0,0.000363595713045528,0.0005678945542028002,0.000363595713045528,0.0002678326666321649,0.0005141297401768081,0.000363595713045528,0.000363595713045528,0.000363595713045528,371,2024-12-04T22:47:52,1733352472,1,0.0007506086917308485,95.05077603119932,24.881679999032833,95.05077603119932,164.79079972924603,37.94110795216475,95.05077603119932,95.05077603119932,95.05077603119932,79,-56.353591160220994,341,,260,217.07317073170734,29,-42,341,,341,,181,0,82,50,0,0,215,-56.032719836400815,954,,704,180.4780876494024,82,-38.80597014925373,953,,954,,489,0,251,134,0,0,133,-45.714285714285715,385,,317,138.34586466165413,58,-35.55555555555556,385,,385,,245,0,133,90,0,0,62424835.29092002,-84.6654417738816,32363.550694523277,1148680231.064122,,521321.441087115,469510806.5358941,-31.24482399564645,317167.4368212895,19146023.34556309,-55.897345592268074,11595.991335532275,1148645397.545533,,521296.7018648406,1148680231.064122,,521321.441087115,34079281.09757915,-85.67937831641072,18097.405325978027,672983107.2879546,,277955.6507135927,272052756.34574074,-32.720269060496136,170939.70617684876,14652360.989933064,-25.09214767623901,8914.644718949716,672948273.7693655,,277930.9114913183,672983107.2879546,,277955.6507135927,237973475.2481611,152842.3008508706,0,0,404360648.514429,107512.27980017077,19560514.06547307,9262.249401080451,0,0,0,0,407085971.2449732,284803.886126766,0,0,682873397.787775,204692.27277245093,43412405.903184086,20847.048153043077,0,0,0,0,28345554.19334087,-83.23864003883237,14266.145368545252,475697123.77616733,,243365.79037352224,197458050.19015336,-29.102688941410598,146227.7306444407,4493662.355630026,-81.16014282554592,2681.346616582559,475697123.77616733,,243365.79037352224,475697123.77616733,,243365.79037352224,169112495.99681205,131961.58527589537,0,0,278512749.27334607,97179.99297228015,23851891.837711018,11584.798751962624,0,0,0,0,,2024-12-04 20:23:59,,9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,0.0007506086917308485,88731.52756354107,999999999.999515,750608.6917304845,999999999.999515,750608.6917304845,500,LOW RISK
87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,,87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,451,45.483870967741936,1058,,761,585.5855855855856,195,-23.828125,872,373.9130434782609,1057,,310,0,111,256,184,0,1.3290931374156964e-12,6.568201793800334e-12,1.3290931374156964e-12,5.547804219956956e-12,9.306621671163288e-12,4.220027059164058e-12,1.3290931374156964e-12,1.3290931374156964e-12,1557,2024-12-04T22:48:33,1733352513,1,5.269161166735593e-12,337.95891458388087,-11.37784646128094,337.95891458388087,4.922265596455998,-37.454405216978735,37.93470508190735,337.95891458388087,337.95891458388087,235,42.42424242424242,544,,400,515.3846153846155,126,15.59633027522936,463,471.6049382716049,544,,165,0,65,109,81,0,686,44.42105263157895,1602,,1161,559.6590909090909,321,-12.054794520547945,1335,403.7735849056604,1601,,475,0,176,365,265,0,382,49.80392156862745,713,,561,405.4054054054054,221,1.3761467889908259,620,346.0431654676259,713,,255,0,111,218,139,0,10947737984590560,16.041576645599136,80305.05605451367,37019497138363340,,181588.07978137053,20382061699465490,395.4340823333828,134704.628601717,4874137924277154,-19.748783655905424,31372.498328210244,24262199846359630,90.28180233319317,153466.12143548817,37015145202033810,,181565.22079796076,5366812093156230,9.798571715990478,39600.94332691034,21022942172806220,,96174.81303847658,10254682681344038,369.1327935649682,67841.00315741169,2164492983815267,-32.4085792230515,13918.001288566687,12245022656449418,39.603446032852375,77461.80705121862,21018590236476690,,96151.95405506682,4887870588187839,28240.0598305014,0,0,2185880591168673.2,10632.961650879392,3202319109340944,25682.94203834361,8771289681178673,18678.194308947932,0,0,9434323714874958,54399.57254720334,0,0,4113980532681679,19950.278000542206,6073600060313386,48932.557726303436,12750667456825576,28087.146667572353,0,0,5580925891434330,22.75340217795238,40704.11272760332,15996554965557124,,85413.26674289395,10127379018121448,425.2517673007323,66863.6254443053,2709644940461886.5,-5.629404202184144,17454.497039643556,12017177189910216,201.98633724732642,76004.31438426954,15996554965557124,,85413.26674289395,4546453126687119,26159.512716701942,0,0,1928099941513005.5,9317.316349662815,2871280950972442,23249.61568795982,3979377775646904,9408.952358624421,0,0,,2024-12-04 18:12:22,,87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,5.275969345777622e-12,37160.79314089937,4.2069e+16,221954.75440751878,4.2069e+16,221954.75440751878,500,LOW RISK
4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,,4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,1,0,9413,,2,-99.94045846978268,0,-100,3361,-44.464639788499674,9413,,1,0,3359,1,6052,0,0.42511512923167066,3.683986349243482e-05,0.42511512923167066,3.6387395219138004e-05,3.655461653737329e-05,2.084016514045212,0.42511512923167066,0.42511512923167066,2705,2024-12-04T22:46:39,1733352399,1,3.657377077470594e-05,-99.99140124309302,-0.7742888491432868,-99.99140124309302,0.45955836417588297,0,-99.99824595360492,-99.99140124309302,-99.99140124309302,2,-33.33333333333333,1772,,5,-98.93390191897655,1,0,474,-63.48228043143297,1772,,3,0,469,1,1298,0,3,-25,11185,,7,-99.8171368861024,1,-50,3835,-47.82312925170068,11185,,4,0,3828,2,7350,0,3,-50,2864,,7,-99.58008398320337,1,-66.66666666666666,1725,-22.47191011235955,2864,,6,0,1667,3,2225,0,7017.513082039038,-98.56181082340528,0.2565169960968132,10117835544.182152,,4678835.253632823,494958.4040635674,-99.56985640824063,18.194859402181834,48.77320248631526,-99.30011446610432,0.001777539529757562,115563138.78518786,-98.84463115878714,2028395.2855291371,10117835544.182152,,4678835.253632823,6968.72939208406,-95.55107327838577,0.2547392288062884,10014706585.181545,,2330979.7610387877,163607.16892756056,-98.79510002129402,6.025277959352209,1.0481569916009903e-05,-99.99999984959138,3.5350922189536504e-10,13742092.6713608,-99.86259232615363,601723.4724709641,10014706585.181545,,2330979.7610387877,156638.43951908406,5.770538727678115,0,0,13578485.502445564,601717.4471930045,6968.72940648157,0.2547392311770102,10000964492.51019,1729256.2885678222,0,0,487940.890965039,17.93834239918965,0,0,115068180.38113663,2028377.090669734,6968.739904486315,0.25473946175669554,10002272405.396969,2650439.9681036873,0,0,48.78368995497736,-99.98527517990222,0.0017777672905248106,103128959.00060599,,2347855.492594035,331351.23513600684,-99.67351243342286,12.169581442829623,48.77319200474535,464494.8748152168,0.00177753917624834,101821046.11382705,7685.00213149378,1426671.813058173,103128959.00060599,,2347855.492594035,331302.45144595497,12.167803671511534,0,0,101489694.87869106,1426659.6434767295,0.010498004745348061,2.3057968533008915e-07,1307912.886779001,921183.6795358653,0,0,,2024-12-04 17:11:30,,4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,3.657377077470594e-05,6238.496065981634,9999999996.57389,365737.7076217537,9999999996.57389,365737.7076217537,400,LOW RISK
GuUKYCRGt2zQ9aZA3D1pnSATfmbSQbzaujL9kHZKpump,,GuUKYCRGt2zQ9aZA3D1pnSATfmbSQbzaujL9kHZKpump,313,-41.05461393596987,12858,,844,-43.08833445718139,156,0,2323,-77.9455046045761,12856,,531,0,1483,156,10533,0,1.613341902902001e-05,0.00014338667676848686,1.613341902902001e-05,0.00021323182952458398,0.0002140005237857048,0.000153505759269851,0.00018239611436829455,1.613341902902001e-05,1560,2024-12-04T22:48:33,1733352513,2,0.0002001310410801069,1076.34413725017,32.35855182856882,1076.34413725017,-10.996154134671794,-11.315857770551071,23.633490879162338,4.0507521463241725,1076.34413725017,252,-45.21739130434783,10630,,712,-41.49548069022186,132,10,1926,-77.86970010341263,10629,,460,0,1217,120,8703,0,565,-42.986881937436934,23488,,1556,-42.37037037037037,288,4.3478260869565215,4249,-77.91120815138282,23485,,991,0,2700,276,19236,0,285,-35.810810810810814,5576,,632,-41.64358264081256,168,0,1398,-71.2759400041093,5576,,444,0,1083,168,4867,0,426128275.95828664,-54.57070088095918,81059.86226692302,26241595286.78681,,5953504.928586721,1364131468.2190368,-36.390756782689856,246287.5636819215,226920610.31967998,14.058421126246696,44301.047389779575,3504315653.5550394,-84.5857190420423,759440.449440612,26238529874.20554,,5952903.682930209,222254689.3357329,-50.63322155581332,42228.878734405575,13537229127.429157,,2994037.613864676,672465734.7799958,-38.31880627450174,121338.9611238234,110735300.23420334,-0.4742230123865819,21656.500424527156,1758458235.4420607,-85.06788820705552,381680.0955744404,13534811505.667034,,2993563.970928769,450211045.44427717,79110.08238941265,0,0,1090228145.9932358,261400.41117931696,111262934.67468736,20522.41421318123,11776353270.22494,2611883.875354325,0,0,938003192.2607478,165227.70141499536,0,0,2144549124.030157,514286.24977875175,198951211.21176195,36708.85078044608,22734214220.65048,5193463.233489584,0,0,203873586.6225537,-58.20482392897971,38830.98353251745,12704366159.357656,,2959467.314722046,691665733.439041,-34.39704341965397,124948.60255809812,116185310.08547664,32.498111120194636,22644.546965252423,1745857418.1129785,-84.06753447583053,377760.3538661717,12703718368.538506,,2959339.7120014396,487792146.8164706,86117.61902558271,0,0,1054320978.0369213,252885.83859943482,87688276.53707458,16186.43656726485,10957860950.425539,2581579.358135259,0,0,,2024-12-04 16:21:59,,GuUKYCRGt2zQ9aZA3D1pnSATfmbSQbzaujL9kHZKpump,0.00020061709091945046,65370.43334286849,999986444.752761,200614.37150518267,999986444.752761,200614.37150518267,100,LOW RISK
EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,4,300,2472,,5,66.66666666666666,1,-66.66666666666666,8,-99.67532467532467,2472,,1,0,3,3,2464,0,0.0005925079947247952,3.5317890387699166e-08,0.0005925079947247952,3.512895221216099e-08,3.6217976045087954e-08,3.854200885999324e-08,0.0011015038174790903,0.0005925079947247952,1512,2024-12-04T22:42:21,1733352141,1,3.696913885583543e-08,-99.99376057875156,4.675192418479369,-99.99376057875156,5.238179317724509,2.073814603689443,-4.081103152239226,-99.99664376381318,-99.99376057875156,2,0,630,,4,-50,1,0,12,-98.05825242718447,630,,2,0,8,1,618,0,6,100,3102,,9,-18.181818181818183,2,-50,20,-99.35107073329007,3102,,3,0,11,4,3082,0,6,200,1698,,7,-36.36363636363637,2,-60,17,-98.9946777054997,1698,,2,0,11,5,1691,0,1712578845.2986255,8.734575357908769,62.398872007664494,9030106209457.209,,1152557.79514495,3287587382.9851775,-47.92209384406565,117.90371817751056,826972765.0025779,-6.620699270049295,30.572269497113343,9600412966.146147,-99.89357123444363,356.80511631439464,9030106209457.209,,1152557.79514495,1712364174.076489,35.42514416230861,62.39108075099192,8921900918742.508,,524390.1258041336,2976800098.937979,240.0215345975373,107.04829014746257,826758453.4827313,-6.644860770745624,30.564490909551623,3852274089.863157,-99.95680362102338,141.51860422002383,8921900918742.508,,524390.1258041336,1264435924.8561704,44.65720939640689,0,0,875473990.9227912,34.47031407240455,885605720.5939584,31.82658984123725,8918048644652.639,524248.6071999135,0,0,1575008537.681351,55.50484616917382,0,0,6312825583.15865,238.9013981362168,885606080.2962649,31.826602510662376,9020505796491.057,1152200.9900286347,0,0,214671.2221365051,-99.93087889489556,0.007791256672575634,108205290714.70146,,628167.6693408166,310787284.0471984,-94.28421578455622,10.855428030047992,214311.51984656617,59480.24620204576,0.007778587561720122,5748138876.28299,-94.38971436044974,215.2865120943708,108205290714.70146,,628167.6693408166,310572612.8251805,10.847636772766922,0,0,5437351592.235859,204.43108406381228,359.70230656617787,1.2669425126335919e-05,102457151838.41856,627952.3828287213,0,0,,2024-12-04 16:12:59,,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,3.696913885583543e-08,5542.291999380935,8888888876095.383,328614.56713446113,8888888876095.383,328614.56713446113,500,LOW RISK
HBYZRmsavnEiNxgwHdAskvajETR5TQBK7T9WrZKCK3s3,,HBYZRmsavnEiNxgwHdAskvajETR5TQBK7T9WrZKCK3s3,740,28.695652173913043,118881,,1315,-82.59661196400212,237,-52.976190476190474,8872,-91.73190188622978,116131,4060.9100680759584,575,0,7556,504,107304,2791,0.000971115719256053,0.0020151160447195115,0.000971115719256053,0.0011603207577807167,0.0018725267679979528,0.001142725631315199,0.000817072209615731,0.001504205421727421,1750,2024-12-04T22:48:31,1733352511,1,0.0020447974633868086,61.20567870784102,-22.312479702221978,61.20567870784102,34.91904508021454,-16.39672590960987,36.99646208718327,91.59796011193475,4.074461084407478,628,39.55555555555556,4551,,1078,-38.329519450800916,246,-35.9375,2827,150.3985828166519,3956,563.7583892617449,450,0,1748,384,1129,596,1368,33.463414634146346,123432,,2393,-74.2798796216681,483,-45.608108108108105,11699,-89.21084909575498,120087,3445.527015057573,1025,0,9304,888,108433,3387,702,22.727272727272727,3664,,1097,-33.595641646489106,315,-38.59649122807017,2398,85.74748257164988,3285,283.31388564760795,572,0,1652,513,1291,857,93829587.44377469,20.529246684966182,186585.23465037614,1273771306.1987987,,1650194.9870102883,171677570.42256436,-53.92492325463715,329911.2670302329,28233331.437350087,-57.26337295141109,45826.964174307155,544319490.7975519,84.10634319471903,996285.5186109142,839950699.7872025,93.59686609714367,1304587.1631121123,45982340.4795519,14.051026763612452,91674.47799689876,672393379.7726222,,831625.3686644314,86299680.69504797,-53.762085297876204,165973.40200609973,14429500.86642106,-54.88706606633178,23432.681807110606,272950937.2444429,85.70470311092916,500144.81677268416,419887491.0347138,66.27416275065129,653675.0109801225,40317340.215495884,74298.92400920196,0,0,186642674.63403594,334157.68493687606,31985285.833188046,69284.13652502684,146981165.6204517,153588.53086996835,252527202.11521205,177978.35393144656,77847982.97878867,143326.03237985732,0,0,372603981.47864735,666313.9055191467,66063546.39370705,141904.2974047051,295654935.8116659,308326.3925783295,433865855.74465305,345665.9899125564,47847246.96422279,27.48848258740792,94910.75665347738,601377926.4261764,,818569.6183458569,85377889.72751638,-54.088357854541314,163937.86502413315,13803830.570929024,-59.49373487999765,22394.28236719655,271368553.55310893,82.52618010836272,496140.70183823013,420063208.7524887,131.6457083721779,650912.1521319898,37530642.76329278,69027.10837065536,0,0,185961306.84461144,332156.2205822707,34078260.560519,72620.16087967827,148673770.1912142,154737.86170836113,181338653.629441,167687.63598110987,,2024-12-04 13:59:43,,HBYZRmsavnEiNxgwHdAskvajETR5TQBK7T9WrZKCK3s3,0.0020488220023388765,28252.14787936794,99999953.916758,204882.1058175275,99999953.916758,204882.1058175275,600,LOW RISK
8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,342,302.3529411764706,3599,,427,20.96317280453258,293,551.1111111111111,790,15.835777126099707,1485,-23.374613003095977,85,0,353,45,682,1938,0.0005812421833156472,0.0012470822732014463,2.9515738248976116e-05,0.0011421600224433412,0.001269668344708658,0.0014284914150416333,0.000563601926123038,0.00046847713525065943,584,2024-12-04T22:48:25,1733352505,1,0.0019396323060191796,239.13936739363967,58.06664130196051,6578.542297989263,72.58711781075766,55.25480112477624,37.99320337281931,249.75413889755495,320.7720964795775,233,288.3333333333333,2207,,293,1.7361111111111112,197,447.22222222222223,590,13.8996138996139,1109,12.932790224032587,60,0,288,36,518,982,575,296.55172413793105,5806,,720,12.324492979719189,490,504.9382716049383,1380,15,2594,-11.164383561643836,145,0,641,81,1200,2920,206,48.201438848920866,3971,,333,-27.765726681127983,148,108.45070422535213,739,-9.657701711491443,1461,-43.937068303914046,139,0,461,71,818,2606,102062383.10160992,1113.3000283290971,192678.73146393604,1009518035.8496073,,711239.0035237813,110474348.87417817,70.34614782735555,203102.99813916156,90941371.8340666,819.35709946237,176187.24406135728,180309056.63686258,13.511127100926773,320952.9077291796,339852975.74565494,-22.346822858368366,489938.75470236025,52395987.51234985,1174.9992874543414,98819.45417972426,545822574.1312197,,363330.59677833086,56505479.02563233,78.34383745416405,103929.8122854995,45516439.34832291,705.5463631000638,88334.74312628378,90278507.38638887,8.11006987260836,161125.88450119123,174306629.8127901,-21.980546079844608,249102.74094941778,4109491.513282606,5110.358105775291,0,0,31683449.135244016,52660.620742839885,5650381.087086967,7870.428242452319,83506104.0037886,86712.85398460274,223414316.6282276,85755.83366722,8411965.772568693,10424.266675225572,0,0,64852860.063582435,107038.90110008419,9891844.190603208,13877.204591590544,158847032.21785772,167196.39380228228,437654952.7726304,168033.07692663884,49666395.58926007,1054.368221542858,93859.27728421178,463695461.7183876,,347908.40674545045,53968869.84854585,62.70674798881436,99173.18585366204,45424932.48574368,970.973184891923,87852.5009350735,90030549.25047371,19.497531268351807,159827.0232279884,165546345.93286487,-22.728783431504063,240836.0137529425,4302474.259286088,5313.908569450281,0,0,33169410.928338423,54378.2803572443,4241463.10351624,6006.776349138226,75340928.2140691,80483.53981767956,214240636.1444028,82277.24325941883,,2024-12-04 05:55:19,,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,0.0019243541258015993,40858.92097043371,999999999.9956166,1924354.125793164,999999999.9956166,1924354.125793164,500,LOW RISK
