datetime,address,c,h,l,o,type,v,token,timestamp
2024-11-15 01:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,1.2738901765521586e-05,0.00042861173291221943,1.1297515898135381e-05,0.00011045107025322663,1H,3929080513.656358,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 01:00:00
2024-11-15 01:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,1.2738901765521586e-05,0.00042861173291221943,1.1297515898135381e-05,0.00011045107025322663,1H,3929080513.656358,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 01:00:00
2024-11-15 02:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,5.772992759219362e-05,0.00024334660594095195,9.939297162985007e-06,1.2738901765521586e-05,1H,2093498759.7685509,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 02:00:00
2024-11-15 02:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,5.772992759219362e-05,0.00024334660594095195,9.939297162985007e-06,1.2738901765521586e-05,1H,2093498759.7685509,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 02:00:00
2024-11-15 03:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.00028968687068932206,0.0003295413112161614,3.8846349132428263e-05,5.772992759219362e-05,1H,2030921966.2748728,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 03:00:00
2024-11-15 03:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.00028968687068932206,0.0003295413112161614,3.8846349132428263e-05,5.772992759219362e-05,1H,2030921966.2748728,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 03:00:00
2024-11-15 04:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0005065380858710124,0.0011349505652059623,0.0002857640134493029,0.00028968687068932206,1H,1399945856.0606086,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 04:00:00
2024-11-15 04:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0005065380858710124,0.0011349505652059623,0.0002857640134493029,0.00028968687068932206,1H,1399945856.0606086,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 04:00:00
2024-11-15 05:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.00020103994233459135,0.0005300469786867428,7.922484525142363e-05,0.0005065380858710124,1H,3084974776.1202884,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 05:00:00
2024-11-15 05:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.00020103994233459135,0.0005300469786867428,7.922484525142363e-05,0.0005065380858710124,1H,3084974776.1202884,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 05:00:00
2024-11-15 06:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0001966029743685302,0.00043904739680998117,0.000159991588129359,0.00020103994233459135,1H,800516017.3114033,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 06:00:00
2024-11-15 06:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0001966029743685302,0.00043904739680998117,0.000159991588129359,0.00020103994233459135,1H,800516017.3114033,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 06:00:00
2024-11-15 07:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0006095305591848537,0.0009468462052295419,0.0001966029743685302,0.0001966029743685302,1H,912370149.4772238,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 07:00:00
2024-11-15 07:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0006095305591848537,0.0009468462052295419,0.0001966029743685302,0.0001966029743685302,1H,912370149.4772238,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 07:00:00
2024-11-15 08:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0005783958954364228,0.000701654692463054,0.0004395671937984967,0.0006095305591848537,1H,195948265.857224,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 08:00:00
2024-11-15 08:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0005783958954364228,0.000701654692463054,0.0004395671937984967,0.0006095305591848537,1H,195948265.857224,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 08:00:00
2024-11-15 09:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0004162545823189535,0.0005783958954364228,0.00029852811111254635,0.0005783958954364228,1H,232331167.47862104,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 09:00:00
2024-11-15 09:00:00,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,0.0004162545823189535,0.0005783958954364228,0.00029852811111254635,0.0005783958954364228,1H,232331167.47862104,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,2024-11-15 09:00:00
