Address,Error,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
Ct3HExg6BddwrAy46CQLNEnnqGGx4yxY1vXvwxnofoF,,2024-10-27 06:23:37,0.0004975443271799444,117187.01146909408,1000000000.0,497544.32717994443,1000000000.0,497544.32717994443
9rLGTvxXEhhdyZtJA34pFV21oZhsi3MRho9hv54vpump,,2024-10-27 06:05:01,0.00023416854810305436,48563.6169213412,999999999.269852,234168.54793207668,999999999.269852,234168.54793207668
2xtF1kZQQ14dvVjTsAASPM5Jxax9Gpat8tMETegqpump,,2024-10-27 05:46:26,0.0011918454444880967,113868.88657917993,1000000000.0,1191845.4444880967,1000000000.0,1191845.4444880967
2gfyCbdeu3gNNCWofRznvDEuHascLxQc5qcBdczbc4uP,,2024-10-27 05:46:09,0.00022400464339531931,61566.9543010905,1000000000.0,224004.64339531932,1000000000.0,224004.64339531932
6Rx89EvU1fNGv5htXGTUs3HPoQjcYSLh8KDd5RPwpump,,2024-10-27 05:40:21,0.0010030337392758035,93769.09390057289,999999998.779304,1003033.7380514042,999999998.779304,1003033.7380514042
hf8aYwMK2cYv7t4uUhUAqpdwTS3sja2z9RJMQZ2pump,,2024-10-27 02:50:45,0.0016010200502948534,218601.34258449983,999999994.926982,1601020.0421728499,999999994.926982,1601020.0421728499
G1pKojoCJopPDVMMLUowsyXTaPzKPnBfNWQhraqvpump,,2024-10-27 02:11:37,0.0004046289965342125,76514.20650501763,999999299.562787,404628.7131170059,999999299.562787,404628.7131170059
aLaZ7pqNznDjDUw6D15r4VCmogF8cKtYTaKaUGipump,,2024-10-27 01:34:08,0.0005195578939739717,83448.29932968237,999985846.047566,519550.5401762537,999985846.047566,519550.5401762537
Dvmw8Nq6SRoxFWP36PWRycuY8NfT7qHHGa7k3wPTbWWD,,2024-10-27 01:02:01,0.00028616197063585804,69585.98592765279,950001707.046966,271854.36059598887,950001707.046966,271854.36059598887
4qe5LzsmEJwr2rusq2Q4tvtEB1wdtpH6CokuCmAKpump,,2024-10-27 01:01:10,0.0006574183276389268,125055.4472135037,999986792.15103,657409.6445569452,999986792.15103,657409.6445569452
HHLT4ZYxyCVMpRn8dve35fqhnxj4KAcG8bEjBMeePn7g,,2024-10-27 00:52:03,5.069998369647272e-05,323641.85903915315,7500000000.0,380249.87772354536,7500000000.0,380249.87772354536
