Address,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,1400,-73.37390642829973,84554,-13.606686352443523,3858,-24.721951219512196,924,94.11764705882352,8983,-44.92673655815094,25287,-10.234291799787007,5258,97871,5125,476,16311,28170,191.0524757330832,195.16371413932185,189.51327011931133,194.26215228250226,195.8018330367068,194.96441427010848,195.29100629827903,192.96196574523694,151918,2024-10-20T05:26:17,1729401977,102,196.11082441440496,2.6476226816284214,0.4852901469209536,3.4813152086606,0.9516378307259276,0.1578082150233174,0.5880099445779973,0.41979307274077704,1.6318545766295642,1375,-73.18119758143163,84594,-14.354270441015673,3752,-32.952108649035026,930,108.98876404494382,9348,-41.71343060231949,25378,-8.656372601950833,5127,98772,5596,445,16038,27783,2775,-73.2787674530573,169148,-13.98219107723133,7610,-29.01781550228523,1854,101.30293159609121,18331,-43.3336424618999,50665,-9.450789055099817,10385,196643,10721,921,32349,55953,661,13.573883161512027,10395,-18.374558303886925,1033,8.167539267015707,430,7.769423558897243,1720,-20.59095106186519,3478,-19.769319492502884,582,12735,955,399,2166,4335,45278.352837751496,90.28966074190734,8459221.583207795,72286.31529997019,-44.701153433473586,13061009.057957154,34440.815736298464,57.46114490529581,6701753.548893464,28980.906693695608,25.73439379345127,5175341.101842009,22827.967846467345,10.424037721539719,5691328.619910657,33241.28687975862,-62.88767991041168,6613062.488722988,42759.00637094746,146.93369565493444,7998421.285234413,40967.79619681251,-42.989773685023565,7427570.764002737,25443.019479188366,228.5124467453771,4784723.232153558,25604.97616087752,49.26507559633094,4878443.950013972,17698.101522118486,44.0930352607736,3576662.095552232,29980.514461035607,-54.504224390821356,6180713.682391741,17315.986891760196,3128837.761841491,71860.43424993452,12770652.371863177,7744.91795706867,1530821.221730718,17154.030210069388,3213862.442252408,12282.412880046004,2514992.387703037,65897.35873188877,11599464.84003174,23794.43668206608,4427075.249205701,130719.39070737625,23078698.654877894,21872.580538527593,3898806.751522101,23049.307209691295,4623942.395161689,20673.005912022032,2859617.022326541,89569.41198910464,16038226.383495092,2519.3464668040315,-61.111893302408696,460800.29797338165,31318.51910315768,-46.79056342800998,5633438.293954417,8997.796257110102,-36.31079306127564,1917030.3167399059,3375.9305328180876,-42.73499730318688,296897.1518280377,5129.86632434886,-38.86169541533885,2114666.5243584253,3260.7724187230106,-86.2252235440158,432348.8063312475,6478.449790305882,1298237.4873642107,58858.95645744173,10308046.283014717,14127.662581458922,2367985.529791383,5895.276999621905,1410079.9529092812,8390.59303197603,344624.63462350407,23672.053257215877,4438761.543463354
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,1093,294.5848375451264,3536,-59.827311974551236,1370,-16.868932038834952,1787,157.49279538904898,278,-44.06438631790744,221,-87.52821670428894,277,8802,1648,694,497,1772,0.008748258434050242,0.008608419307328991,0.009046367612881995,0.008511951285630797,0.008551208576457338,0.00865050371691598,0.008765150350230781,0.008735265319214335,178128,2024-10-20T05:25:16,1729401916,52,0.00850543391572632,-2.7756898147726607,-1.1963333560551923,-5.979567936034215,-0.07656728387860925,-0.5353004820516559,-1.6770098706041618,-2.9630573820975457,-2.6310752460199662,1711,202.2968197879859,4741,-54.006596818005434,1145,87.70491803278688,1833,1402.4590163934427,535,2129.166666666667,511,-78.52038671710802,566,10308,610,122,24,2379,2804,232.62158956109133,8277,-56.687598116169546,2515,11.381753764393268,3620,343.62745098039215,813,56.046065259117086,732,-82.36569501324982,843,19110,2258,816,521,4151,228,19.3717277486911,2393,-24.842964824120603,369,-9.7799511002445,135,3.0534351145038165,636,6,1038,7.900207900207901,191,3184,409,131,600,962,395401558.98124194,208.2382609780043,2787567.7520825975,472954911.7312775,-65.17356667031991,4304926.097746586,267123661.96526062,36.739251198159835,1989395.0471935368,1358022306.457717,41.07552844853558,8480468.327716932,71771076.93598387,-75.08202867729432,532324.8588639122,359851259.34131384,2.7897501223996217,1323521.601176438,235282224.58197248,164.23095347255446,1593781.2133313369,198368325.14005542,-69.4471607786637,1743569.5485111205,146238067.7601263,2.450296663106259,1021692.5765017652,410193570.41436017,134.51513020054924,2578638.590156539,3497565.757462445,-98.3477727752053,71619.08491873895,215236249.17608827,28.57537566960825,971581.4001888835,89044156.82185058,669888.0832967318,649263146.0631217,6075121.609858616,142740502.00265414,902776.3969912045,174911345.83238906,952169.1525446442,211687938.86065206,871058.3292545778,167400832.43401662,1056590.9594379892,128277897.0159897,952536.7360987206,1358034304.7308602,12402723.803178564,195352585.02926147,1372926.0561751393,962620747.476501,5606320.087764544,288029374.4883832,988530.9682339408,350084769.067744,2683690.753575409,160119334.39926943,308.1164161432374,1193786.5387512604,274586586.5912221,-61.25878102780644,2561356.5492354664,120885594.20513433,129.76774012920055,967702.4706917716,947828736.0433568,20.327208747926946,5901829.737560393,68273511.17852142,-10.568211591607769,460705.77394517325,144615010.16522554,-20.83868301175723,351940.2009875544,39233740.19413912,282648.65280198876,708771158.6677387,6327602.193319948,52612083.02660732,470149.6591839349,787709401.6441119,4654150.9352199,76341435.62773108,117472.63897936304,182683936.63372743,1627099.7941374194
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,6988,192.14046822742475,31431,-31.738516668476493,4596,392.07708779443254,5343,224.80243161094228,5530,-33.993793268083074,2849,-80.49164612434949,2392,46045,934,1645,8378,14604,3.4088433494877317,3.4295849633709414,3.4145359166572455,3.4258128449408614,3.4289338480810514,3.430732396034551,3.42736821476578,3.419433541822008,50037,2024-10-20T05:26:19,1729401979,109,3.4296080801042317,0.6091429991824182,0.0006740387987801909,0.4414117705852529,0.1107834938786868,0.019663022182758387,-0.032771892427946134,0.065352340282614,0.29755040294780577,7760,133.8758288125377,32167,-31.723728058073142,4442,561.0119047619047,5701,176.88198154443904,5114,-38.6221795487278,3216,-78.18181818181819,3318,47113,672,2059,8332,14740,14748,158.28371278458843,63598,-31.73103759204792,9038,462.76463262764634,11044,198.16414686825055,10644,-36.301615798922796,6065,-79.33137949836423,5710,93158,1606,3704,16710,29344,747,19.329073482428115,9983,-11.356774995560292,1145,12.365063788027477,483,11.29032258064516,1858,-17.96909492273731,3643,-10.425374969264814,626,11262,1019,434,2265,4067,2596364.24118702,744.7068435836284,9537801.252837017,5668348.217038469,-47.24519168036423,18660311.78243876,2288995.5651889946,107.88658819202324,9450125.23030857,1515085.105039992,40.119702155616395,5954130.265629785,3390074.564607192,29.989542728612612,11842973.022108244,785780.7733868584,-76.82860706036217,3727256.742003793,1320023.27362302,2108.771376733298,5048547.701272719,2731034.4387834207,-47.37025435094305,8871357.83783168,1260260.48932,132.7978451940166,5033046.266676551,769695.1774729862,39.861145170970765,3105972.5692537106,1801614.507554086,37.36017764278111,6283043.42730013,490886.8872028953,-71.88751772236847,2398375.849652071,59762.78430297717,433769.17855707125,5189146.185494357,17127622.971006263,541354.0182340104,2525371.2546412563,550328.0961499965,2400446.4371621725,1311598.8479858877,4227110.354193599,1746152.7671410325,5080442.271186875,307368.67599794373,1100649.848631917,10744704.411955306,35635346.74529378,1101078.9994180226,5256823.288864497,1081279.1361469955,4529439.920213459,2607959.450772794,8312885.722020086,3391167.6153170466,10177860.40279201,1276340.9675640005,415.4727776576354,4489253.551564299,2937313.778255048,-47.128377410127484,9788953.944607079,1028735.0758689948,83.79295376326856,4417078.96363202,745389.9275670056,40.38769517641752,2848157.696376075,1588460.0570531057,22.53226869423879,5559929.594808114,294893.8861839631,-82.07348179799469,1328880.8923517216,247605.89169496656,666880.6700748459,5555558.2264609495,18507723.774287514,559724.981184012,2731452.0342232403,530951.039996999,2128993.483051287,1296360.6027869063,4085775.367826487,1645014.848176014,5097418.131605134
BsQCC4D2AZhC9RctuugBKLCWaNycwmZTzwpUjgGHXWbw,BsQCC4D2AZhC9RctuugBKLCWaNycwmZTzwpUjgGHXWbw,586,-66.96730552423901,24533,-17.190980895159658,1188,-72.3463687150838,388,95.95959595959596,5484,7.17217119405902,10603,109.00847624679677,1774,29626,4296,198,5117,5073,1.143236290073715,1.3623651700452912,1.0772398384596977,1.3312250432896364,1.3750060967184456,1.249519692081442,1.2058604840590994,1.166842874575763,88,2024-10-20T05:26:13,1729401973,1,1.3808865878229297,20.78750471907179,1.3595046456613948,28.18747863961329,3.730514595081004,0.427670184046333,10.513391391427982,14.514623049481424,18.343833425300556,160,128.57142857142858,1622,-44.88617057424397,90,-40.397350993377486,74,-13.953488372093023,61,-78.36879432624113,339,-39.464285714285715,70,2943,151,86,282,560,746,-59.54446854663774,26155,-19.693573643648868,1278,-71.26152462334157,462,62.676056338028175,5545,2.7042044823115394,10942,94.24818036570211,1844,32569,4447,284,5399,5633,14,0,20,-13.043478260869565,14,-6.666666666666667,14,0,15,0,16,0,14,23,15,14,15,16,11066642.923720159,133.22706263420463,2231880.765622576,72052138.89510204,-48.99408332809173,95830095.52431117,6321634.862164902,-45.29851520743268,5325335.5778524,5675633.345052004,5.279600457589123,1025069.2445053374,9965073.820317496,-42.07246488795,19270077.72986795,22368648.563719176,4.426843914105678,39986743.90068056,4881821.2181135435,38.89066233800875,116266.62402454115,49201068.912251815,-41.799767980177585,64434607.17265131,1366954.8218169245,-84.75567846986559,4867887.772680146,2710986.914496153,24.882258861385598,65271.66806538112,7600022.285789076,-38.129762217442575,16533607.863835191,19886151.658294287,69.84465739217603,31431582.229536094,3514866.396297389,4751621.148655299,84537582.07612373,79157586.05802865,8966977.107605472,11665720.091155954,2170834.303618132,181538.29208994185,12283809.725282306,14893542.287795236,11708435.204044487,13398247.291102437,4745008.061554666,6409787.485080994,141262315.42621225,131357129.22492638,11556605.613425447,14859637.76236096,5391009.578667976,1337354.8572479803,17202654.663351238,20800951.671538576,21420400.85221582,24489272.92549793,6184821.705606615,402.77312607837706,2115614.1415980347,22851069.98285022,-59.71586178850752,31395488.35165986,4954680.040347977,91.32783058314135,457447.80517225445,2964646.4305558503,-7.93524645921762,959797.5764399563,2365051.534528419,-51.918558842456555,2736469.866032757,2482496.9054248873,-74.43878000235392,8555161.671144461,1230141.6652572767,1658166.3364256946,56724733.35008851,52199543.16689773,2589628.505819975,3193917.6712050056,3220175.2750498443,1155816.5651580384,4918844.938068934,5907409.383743342,9711965.64817133,11091025.634395493
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,147,-51.48514851485149,2317,-60.32534246575343,450,689.4736842105262,119,325,507,59.93690851735016,190,-80.96192384769539,303,5840,57,28,317,998,0.009369666354163649,0.009413363707537191,0.009610092824094049,0.009341306060419522,0.00941735940938662,0.009439242044296062,0.009592264676865919,0.009615346844704054,86624,2024-10-20T05:24:59,1729401899,39,0.00933670624501733,-0.3517746299650504,-0.8143471866330083,-2.84478603985276,-0.04924167319260633,-0.8564307770700651,-1.0862715332179962,-2.6642137228024025,-2.8978736200264463,78,-88.66279069767442,3523,-50.45007032348805,610,-50.204081632653065,254,-23.49397590361446,615,31.41025641025641,1083,56.95652173913044,688,7110,1225,332,468,690,225,-77.29566094853682,5840,-54.9034749034749,1060,-17.31669266770671,373,3.6111111111111107,1122,42.92993630573248,1273,-24.585308056872037,991,12950,1282,360,785,1688,106,37.66233766233766,1040,-23.52941176470588,164,25.190839694656486,71,29.09090909090909,248,48.50299401197605,368,12.883435582822086,77,1360,131,55,167,326,90238627.10417116,143.2477774993432,642604.3379393313,436857198.2207463,-65.64476727238635,4263120.439478155,127336037.83155659,-10.233826472553474,938475.2991639597,84619142.83921187,454.7198316385768,604335.0516296235,103823890.58538915,-15.808735218323847,556912.0216870627,73477926.67860998,-57.84951545006747,642827.6750604252,32195188.37236502,764.9309553206443,266526.8451229179,191210692.63783562,-71.15242239602524,1846246.7585141812,35917472.58179381,-39.298285619683156,285261.11928320565,21758249.769437805,108.47348630888001,161531.1410175903,95087914.38638775,39.63691619837319,529183.11466123,26991370.166446395,-67.9940153309264,130650.33276999646,3722284.2094291477,11959.723189897013,662831019.1684506,6504863.505843394,59170441.80458998,397219.23822158936,10436938.602926316,101666.04582013078,68096544.21994142,637491.3144567407,84332259.87428324,697270.2700351642,37097410.727386735,212925.2242282842,1271588528.2582126,12320230.522901634,141853030.85535094,1101878.3895405384,15254392.94089359,141081.70461309524,123319076.93110931,1188613.0317807095,174322851.71375945,1230026.6535991156,58043438.73180614,73.91226577246289,376077.49281641335,245646505.5829107,-59.6478890338107,2416873.680963974,91418565.24976277,10.565678094137304,653214.1798807541,62860893.06977406,1204.8570605922591,442803.9106120332,8735976.199001402,-84.18041373673778,27728.90702583263,46486556.51216359,-48.34287055797392,512177.3422904287,33375126.517957587,200965.50103838718,608757509.0897619,5815367.017058239,82682589.05076095,704659.1513189491,4817454.337967275,39415.65879296447,55222532.711167894,551121.7173239689,89990591.83947621,532756.3835639512
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,568,-12.615384615384615,12423,-22.30769230769231,82,-84.32122370936902,604,1577.7777777777778,605,-81.91330343796712,3958,-3.8153098420413123,650,15990,523,36,3345,4115,163.0037992371616,166.54499873134841,161.65948097838577,165.8016412833206,167.0772746720801,166.35232687882686,166.68897356927263,164.51250772337235,31930,2024-10-20T05:25:48,1729401948,59,167.44687200114498,2.7257479793578105,0.5415192750707378,3.579988620359975,0.992288559443762,0.22121340546778517,0.6579680265701388,0.4546782043488803,1.7836724504295816,434,-41.8230563002681,11556,-22.494969818913482,312,11.827956989247312,525,476.9230769230769,591,-81.81538461538462,3849,0.4698512137823023,746,14910,279,91,3250,3831,1002,-28.223495702005728,23979,-22.398058252427184,394,-50.87281795511222,1129,788.9763779527559,1196,-81.8650492797574,7807,-1.7493078278379057,1396,30900,802,127,6595,7946,230,13.30049261083744,3173,5.766666666666667,355,19.93243243243243,130,-13.333333333333334,526,-35.931790499390985,1148,-16.992046276211134,203,3000,296,150,821,1383,4178.202763378643,-52.48004155173482,547297.993142664,77268.50645808969,14.86213274439227,12571127.423470989,4886.141740772951,-52.59868891716985,464891.3379174309,4034.3200371209123,-49.194404438732,362153.98029270594,5761.325745984772,-71.49521867025179,675965.1754081157,19948.177130201082,-39.76925794162874,3033806.445970469,4042.29147176578,-4.0293911016574295,489179.54839223763,46403.65803785983,-8.270198075550034,7526641.872991375,169.71834891465554,-91.5649344865512,13308.38587663846,1495.1228642839358,-72.99962087809885,20618.216400763453,2181.7756191770804,-88.74276382317065,216051.09922636347,17199.319295250538,82.60549153382216,2401417.0053949854,4212.009820681247,675842.7697272974,50587.3304687593,8194079.054808806,2012.0572702613622,13572.04387555871,5537.414336049744,813712.4562802243,19381.094834519008,3196150.137912038,9418.84011854314,1303885.4556832737,8792.521920926001,1378160.462471102,67270.652748577,10889947.89491285,10308.03078892648,1677491.202920253,7940.700217273911,1113776.300151672,20211.78720628222,3306457.8004146568,33119.59382945798,4830310.845319679,135.91129161286258,-97.03283631527574,58118.44475042639,30864.848420229853,85.00420900918488,5044485.550479615,4716.423391858296,-43.148041863359246,451582.95204079244,2539.1971728369763,5.655227814328078,341535.7638919425,3579.550126807692,330.91164051618904,459914.07618175226,2748.857834950544,-88.40181258166224,632389.440575484,4580.512100244754,702317.6927438044,16683.322279817705,2695868.840104044,8295.973518665118,1663919.1590446942,2403.2858812241675,300063.84387144767,830.6923717632109,110307.66250261909,23700.75371091484,3526425.3896364057
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,418,753.0612244897959,7740,-42.662419438476924,467,-34.77653631284916,448,1393.3333333333333,249,-73.56687898089172,1190,-67.2627235213205,49,13499,716,30,942,3635,0.04657039432361025,0.050027924536788344,0.05323441348593638,0.05042877937911439,0.050357883484367774,0.05097622012407326,0.05039205563576223,0.04877220793181674,26174,2024-10-20T05:24:48,1729401888,75,0.04996597578167092,7.291287753471257,-0.12382835324673862,-6.139708301903109,-0.9177370603484195,-0.7782449848562697,-1.9817953154303416,-0.8455298136100128,2.4476395481686186,305,217.70833333333334,7205,-37.37505432420687,401,-33.82838283828383,340,871.4285714285713,205,-72.66666666666667,954,-70.53736874613959,96,11505,606,35,750,3238,723,398.6206896551724,14945,-40.22956326987682,868,-34.34190620272315,788,1112.3076923076924,454,-73.1678486997636,2144,-68.80547068238033,145,25004,1322,65,1692,6873,126,-29.213483146067414,3106,-24.24390243902439,269,-26.50273224043716,64,-8.571428571428571,542,-24.72222222222222,1086,-27.984084880636605,178,4100,366,70,720,1508,3842178.144570461,-82.18303909775794,136535.09075137568,85359642.99966893,-56.78422531069048,4723867.235558613,25406900.465349928,57.28441389036823,369464.7182980168,3860080.5029204083,273.03586099316453,83772.14430036911,9253424.200969014,102.80262518930961,141417.12252493785,8032062.13749896,-83.16445785394961,351861.9528102529,1969802.7801001274,-87.71995690029847,87721.01247628876,32894847.97347482,-71.31779927459452,2008026.3084792336,18010485.73297992,54.607999780989545,322816.4290270465,1461366.637230225,187.42383045006136,47336.751158633175,6361356.4780296795,288.8460743173609,41550.98833494917,8005531.553099487,-65.24912927368307,88746.77090083473,16040682.952879904,240738.44303860253,114687322.24699184,5579816.837689527,11649129.254949763,285417.67083232786,508436.142870252,39677.04627994375,1635957.4901707226,131784.1554132454,23036923.638971943,1121120.5656947065,21564722.32078012,241267.57410021513,197519640.9490369,9754920.668564731,16153476.264380062,430856.7643135221,1034774.6440900865,50295.56169770213,4562773.382411222,297333.1943788718,47708960.41137159,2293824.422133927,1872375.3644703336,-66.10495979897306,48814.07827508692,52464795.0261941,-36.66144344586747,2715840.9270793796,7396414.732370009,64.20614834702741,46648.28927097032,2398713.8656901834,355.73596841784496,36435.393141735934,2892067.7229393353,-1.1872345436310958,99866.13418998866,26530.58439947264,-99.89246698744729,263115.1819094182,5524039.367900217,529.1310616126083,82832318.70204505,4175103.8308752044,4504347.009430299,145439.09348119423,526338.5012198344,10618.515417758372,2926815.892240499,165549.03896562642,24672036.77239964,1172703.8564392203
ATzxmruRw3nBFrbXHAw2pVif35uus8SRNfMtxHdAuApB,ATzxmruRw3nBFrbXHAw2pVif35uus8SRNfMtxHdAuApB,2086,-36.59574468085106,35775,22.870586619041077,5376,-32.206809583858764,984,-10.707803992740473,13306,63.26380368098159,21450,246.6386554621849,3290,29116,7930,1102,8150,6188,5.55861194188726,7.674511480357812,5.179483726576464,7.354580600588642,7.879514196080049,6.48080386895586,6.085741865469641,5.769913908595615,80,2024-10-20T05:26:18,1729401978,1,8.030629264659703,44.47184564449276,4.640266487493583,55.04690599670615,9.192212320264078,1.9178221501882884,23.914091940473117,31.958098818244462,39.181093372922476,907,1.0022271714922049,16721,69.00141499898929,1805,-28.373015873015873,458,2.0044543429844097,4325,17.9759956355701,7989,95.71288584027438,898,9894,2520,449,3666,4082,2993,-28.533906399235914,52496,34.570622917200716,7181,-31.282296650717704,1442,-7.0277240490006445,17631,49.21293161814489,29439,186.6504381694255,4188,39010,10450,1551,11816,10270,18,0,19,-5,18,0,18,0,18,0,18,0,18,20,18,18,18,18,471611.43445401144,-66.42357007090756,7636612.686934466,25294366.788619526,-4.773251771492059,155590000.40598264,1876202.2008038266,-49.039167363857736,18238894.603501458,199616.05294098827,-26.610499108251823,3583420.5897781844,5557857.51087285,6.149094925379477,43688442.74442333,10789142.928753547,78.48205359312644,75744592.56988232,198421.2821800082,-82.39430775554396,5494640.416387294,16515579.884310588,-1.8681923386485073,104424776.11446036,1325450.4238058266,-55.90107252523631,14011106.464858541,68879.42144898772,-46.828445214303514,2547959.1710036066,4331080.038186905,14.187460125438218,34834952.69971817,8120376.704645573,143.74453015466244,58115752.04099605,1127029.1416260004,8516466.048471285,16829996.591222614,76154259.40255061,3005629.6143808407,20823846.23485926,129541.86073098761,2946681.245383639,3792955.928285898,23304106.533989638,3331511.3571955753,18809559.68124218,1404590.7663500034,10602281.916567028,26562249.850139454,120222838.31745344,3681655.310068841,25449548.140921533,271995.3815129881,4053192.097156238,5235897.220583844,32084154.013801023,6044945.534607548,33937768.50316352,273190.15227400325,-1.5749556352923368,2141972.2705471707,8778786.904308937,-9.796974341315293,51165224.29152229,550751.7769980001,-18.5309403901441,4227788.138642917,130736.63149200057,-8.22506121693584,1035461.4187745778,1226777.4726859448,-14.980777164381424,8853490.044705164,2668766.2241079737,-1.6461778832093432,17628840.528886266,277561.6247240029,2085815.8680957432,9732253.258916842,44068578.914902836,676025.6956880004,4625701.906062273,142453.52078200053,1106510.851772599,1442941.2922979456,8780047.479811383,2713434.177411973,15128208.82192134
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,569,-76.5843621399177,81343,7.1726900222664325,1861,-79.16946496530109,62,-90.1743264659271,10795,-46.95852987421384,31119,3.69889033290013,2430,75899,8934,631,20352,30009,0.45535039730168486,0.4117831868238617,0.3900813825749593,0.42955969693948703,0.4005550897906331,0.3937775354428808,0.393624069142172,0.4385774365011143,29927,2024-10-20T05:26:17,1729401977,101,0.3828147313059727,-15.929637137805075,-7.0348805985320935,-1.8628551870429717,-10.882065046269782,-4.428943467909276,-2.784009535886359,-2.7461069288156543,-12.714449160906597,118,-95.0935550935551,73843,13.941180101222074,2523,-70.51881280673055,216,120.40816326530613,11081,-40.61310895546385,29707,16.685651439569504,2405,64808,8558,98,18659,25459,687,-85.79110651499484,155186,10.290177460964985,4384,-74.93711410930712,278,-61.865569272976686,21876,-43.9235087539412,60826,9.659623566741184,4835,140707,17492,729,39011,55468,1155,-1.6183986371379897,16925,1.032712511938873,1980,-30.550683970536653,754,24.628099173553718,4045,-22.6725291531256,7816,-9.704251386321626,1174,16752,2851,605,5231,8656,13040455.481259301,65.26351993446352,2656827.21195873,392090926.55082226,13.436499339485117,172104676.1455025,5149751.297768123,-91.3144346467227,985197.1356705668,4713608.176084549,-43.39264305763738,230408.96998209244,54141165.163149655,-59.00801781788616,23353340.803291485,185994442.54786795,32.727778576611655,74638864.06363612,5608936.454802412,65.76082072163236,1277605.0028784035,199447811.71020633,14.99360152312943,87621490.25668895,2225183.629270976,-92.95411033062886,350027.6955872333,1572252.392636372,-61.050893049257304,138308.72645750063,29356117.43687613,-54.199783508482845,12376966.99832328,93424517.13189034,34.20755793287951,37295051.914293006,3383752.8255375163,1579068.9602678008,173442529.9046661,68072202.86312263,31581301.066123296,12103291.986690743,4036684.062165364,1115366.7896046522,64096023.30660007,24936753.641841378,69611964.16271447,32634070.16369512,7890704.1834946945,3589647.60925644,345647942.975919,135356552.3964581,59290916.46089542,22489369.399368454,8326847.305172587,2388270.315919711,132077450.95764908,51277521.229459144,140132265.10870165,65646793.41960848,7431519.026456891,64.89015381398085,1379222.2090803266,192643114.8406159,11.868210995729003,84483185.88881354,2924567.668497147,-89.4456576649241,635169.4400833335,3141355.7834481774,-26.777709716094165,92100.24352459182,24785047.72627353,-63.54144274007304,10976373.804968204,92569925.41597761,31.26705951932714,37343812.14934311,4506951.357957179,2010578.648988639,172205413.0712529,67284349.53333548,27709615.39477212,10386077.41267771,4290163.243007223,1272903.5263150586,67981427.65104902,26340767.587617766,70520300.94598718,33012723.255913362
