Address,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,liquidityAddedAt,RugCheck_Score,Risk_Status,Address,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
7uWETRCv4ZCxGgoYG3KL1XKpguwL4zreZ6mbvvNXpump,7uWETRCv4ZCxGgoYG3KL1XKpguwL4zreZ6mbvvNXpump,3797,1.2533333333333334,7566,,7547,,1206,-53.4542647626399,7559,,7559,,3750,0,0,2591,0,0,3.9407059076446145e-05,0.0010148522783114929,3.9407059076446145e-05,3.9407059076446145e-05,0.0008341512615915537,3.9407059076446145e-05,3.9407059076446145e-05,3.9407059076446145e-05,2476,2024-11-28T12:40:40,1732797640,4,0.0006394163321132559,1998.2946026062518,-18.522507036917744,1998.2946026062518,1998.2946026062518,-0.8721521239141236,1998.2946026062518,1998.2946026062518,1998.2946026062518,2982,12.358703843255464,5641,,5636,,782,-64.45454545454545,5640,,5640,,2654,0,0,2200,0,0,6779,5.8557151780137415,13207,,13183,,1988,-58.50553120434148,13199,,13199,,6404,0,0,4791,0,0,2734,-3.6305956996827633,4532,,4532,,1173,-42.66862170087977,4532,,4532,,2837,0,0,2046,0,0,2317617236.66978,-27.596581978655916,2284255.2515184414,5532232970.522596,,4278190.916091244,5518594897.678216,,4267896.251428377,794746713.6833715,-47.81258802456566,588812.3706338063,5529034289.59553,,4275718.770024065,5529034289.59553,,4275718.770024065,1153153160.2904239,-34.41328476956582,1140169.7940997817,2918666346.608304,,2165781.2353912806,2911364646.014175,,2160238.662634348,402338694.39466023,-46.413033755996324,305749.4438409059,2915631181.554408,,2163432.3906716453,2915631181.554408,,2163432.3906716453,1758211485.7237532,1020068.8685345663,0,0,0,0,750814465.8957653,834420.3502588763,0,0,0,0,3200977661.0084352,1981165.4613153548,0,0,0,0,1522870522.9864144,1669036.8092510295,0,0,0,0,1164464076.3793561,-19.2894804212063,1144085.4574186595,2613566623.914293,,2112409.680699963,2607230251.664041,,2107657.588794029,392408019.28871125,-49.1736363331662,283062.92679290037,2613403108.041121,,2112286.3793524196,2613403108.041121,,2112286.3793524196,1442766175.2846818,961096.5927807885,0,0,0,0,772056057.090649,834616.458992153,0,0,0,0,2024-11-28 11:18:54,400.0,LOW RISK,7uWETRCv4ZCxGgoYG3KL1XKpguwL4zreZ6mbvvNXpump,0.0006913017868157846,124288.6366163387,999997954.980715,691300.3730902988,999997954.980715,691300.3730902988
JDbfvGozMbQGcMBcjwc1oSendhU6Gz1J3XGV9oa7pump,JDbfvGozMbQGcMBcjwc1oSendhU6Gz1J3XGV9oa7pump,485,135.4368932038835,4974,,691,-32.32125367286974,261,16.517857142857142,1716,-47.32965009208103,4974,,206,0,1021,224,3258,0,0.000107264962109213,0.00014296317515852873,0.000107264962109213,7.285224160709296e-05,0.00017653345467542585,8.531187145568731e-05,0.000107264962109213,0.000107264962109213,1362,2024-11-28T12:40:37,1732797637,1,0.0004283291066580892,204.09951310352574,128.16520907785568,204.09951310352574,347.74494278984514,84.77643691080235,282.3526807452921,204.09951310352574,204.09951310352574,269,82.99319727891157,3569,,416,-51.001177856301524,148,22.31404958677686,1267,-44.960903562119896,3569,,147,0,849,121,2302,0,754,113.59773371104815,8543,,1107,-40.80213903743316,409,18.55072463768116,2983,-46.34892086330935,8543,,353,0,1870,345,5560,0,446,94.75982532751091,2921,,601,-26.16707616707617,273,26.38888888888889,1276,-38.5652383245065,2921,,229,0,814,216,2077,0,508227034.31990707,24.554187784450928,111960.41821541174,9255730621.002827,,1659401.9103811437,916263924.4158305,-64.3190732315092,156820.06789235113,230010046.11874765,-17.327102271539317,62966.98563705804,3486377217.553632,-39.570746082753246,567238.188616142,9255730621.002827,,1659401.9103811437,285644833.17749894,23.345787728941133,63047.057625116286,4669673127.006186,,839490.8217906561,517225366.6005141,-59.13066328861137,88445.36403061608,133715097.96447179,-11.988856047840594,36313.44079535369,1784806731.457228,-38.13208354428497,292697.8083748918,4669673127.006186,,839490.8217906561,231580533.4230128,25398.306405498923,0,0,1265558504.7857761,203547.43976941236,151929735.21302697,26733.616829762057,2884866395.5489597,546793.0134157634,0,0,408036890.095921,44859.64967693896,0,0,2567937571.691571,409660.42919611343,278216988.20115894,48993.43257835275,5769353403.449195,1092163.721765,0,0,222582201.1424081,26.140086613599305,48913.36059029545,4586057493.996642,,819911.0885904876,399038557.8153164,-69.36079763909626,68374.70386173506,96294948.15427588,-23.74927328308792,26653.544841704348,1701570486.096404,-41.009597844052564,274540.3802412502,4586057493.996642,,819911.0885904876,176456356.6729082,19461.34327144004,0,0,1302379066.905795,206112.98942670107,126287252.98813196,22259.815748590696,2884487007.900235,545370.7083492365,0,0,2024-11-28 06:58:25,400.0,LOW RISK,JDbfvGozMbQGcMBcjwc1oSendhU6Gz1J3XGV9oa7pump,0.0004284604768583579,72611.27843930066,991110792.370534,424651.8027185439,991110792.370534,424651.8027185439
DFc4kvax4JYFePaQLZeypGREyeWkeo2Rk7JjU5pS4R43,DFc4kvax4JYFePaQLZeypGREyeWkeo2Rk7JjU5pS4R43,2621,-14.40235140431091,30044,,5683,-35.01429388221841,1397,14.133986928104575,14423,-7.651427839672173,30041,,3062,0,8745,1224,15618,0,0.00021535152150808963,0.0017252859768731453,0.00021535152150808963,0.0028054027513068785,0.0015790511134965606,0.0027052116806797416,0.00021535152150808963,0.00021535152150808963,6478,2024-11-28T12:40:35,1732797635,6,0.0014188823495570864,531.2981511126436,-21.200879628231203,531.2981511126436,-51.53957224002158,-13.903345999795075,-49.74477659611794,531.2981511126436,531.2981511126436,2217,-23.04755293300937,23580,,5098,-24.741659285503395,1226,23.713420787083752,11866,1.3148907103825138,23578,,2881,0,6774,991,11712,0,4838,-18.593303045599864,53624,,10781,-30.53031767510793,2623,18.419864559819413,26289,-3.809001097694841,53619,,5943,0,15519,2215,27330,0,2014,-22.4191063174114,13961,,3892,-37.936533248285755,1247,11.339285714285714,8494,-2.468710529337467,13961,,2596,0,6271,1120,8709,0,789877582.4727044,11.574112847237988,1105580.5295252171,14854119258.293312,,15004535.561737817,1497817410.3735952,-3.4117795441220298,2392027.3136742543,528261306.0065874,101.92218662473643,647506.8462667273,3047326610.9118156,-74.18973373184582,6835657.449035375,14853971994.77496,,15004336.593375824,385603390.91514415,9.73176773281063,541012.6028629645,7478447668.594386,,7527860.81229317,737008821.5230331,-3.784948493733227,1183559.0988799513,259452583.57313946,105.66858749445474,318750.33213672723,1502603885.258231,-74.8551916736163,3393019.3033514284,7478405592.529905,,7527803.79426048,351405430.60790026,642546.4960169799,0,0,766001587.0542142,2210333.0211560302,126150807.34199862,222262.2707262401,5975801707.271691,4134784.490909052,0,0,707939827.9009106,1286446.784149032,0,0,1550724719.1263933,4446626.266941855,261616276.46611118,458073.68325849436,11806645383.863161,8168679.1443404555,0,0,404274191.5575603,13.389954693576476,564567.9266622528,7375671589.698925,,7476674.749444646,760808588.8505621,-3.047513478858099,1208468.214794303,268808722.4334479,98.43338983100347,328756.5141300001,1544722725.653585,-73.50773213394426,3442638.145683947,7375566402.245054,,7476532.799115344,356534397.2930103,643900.2881320522,0,0,784723132.0721792,2236293.245785825,135465469.12411255,235811.41253225424,5830843676.59147,4033894.653431404,0,0,2024-11-28 06:45:52,200.0,LOW RISK,DFc4kvax4JYFePaQLZeypGREyeWkeo2Rk7JjU5pS4R43,0.0014326010983313586,199986.59097788724,993916725.0650088,1423886.1919780385,993916725.0650088,1423886.1919780385
