Address,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,liquidityAddedAt,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,RugCheck_Score,Risk_Status
njuiGeQ3W5EKBtycM965jZgxCxmNS6x2XWTuQpNpump,njuiGeQ3W5EKBtycM965jZgxCxmNS6x2XWTuQpNpump,7,,7,,7,,7,,7,,7,,0,0,0,0,0,0,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,6.625432978806449e-06,1,2024-12-08T19:08:12,1733684892,1,6.588479622326612e-06,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,-0.5598540019341849,7,,7,,7,,7,,7,,7,,0,0,0,0,0,0,14,,14,,14,,14,,14,,14,,0,0,0,0,0,0,7,,7,,7,,7,,7,,7,,0,0,0,0,0,0,124831485.622976,,862.3805011893472,124831485.622976,,862.3805011893472,124831485.622976,,862.3805011893472,124831485.622976,,862.3805011893472,124831485.622976,,862.3805011893472,124831485.622976,,862.3805011893472,62415742.811488,,431.20757697095985,62415742.811488,,431.20757697095985,62415742.811488,,431.20757697095985,62415742.811488,,431.20757697095985,62415742.811488,,431.20757697095985,62415742.811488,,431.20757697095985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62415742.811488,,431.1729242183874,62415742.811488,,431.1729242183874,62415742.811488,,431.1729242183874,62415742.811488,,431.1729242183874,62415742.811488,,431.1729242183874,62415742.811488,,431.1729242183874,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-08 19:00:05,,,,,,,,500,LOW RISK
3tgeurbspEsU4eoeYJUGJ6s2cywTa3WgPx4vhTBtpump,3tgeurbspEsU4eoeYJUGJ6s2cywTa3WgPx4vhTBtpump,50,,50,,50,,50,,50,,50,,0,0,0,0,0,0,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,1.2646101214081498e-05,6,2024-12-08T19:06:58,1733684818,1,6.623323074757719e-06,-46.192070444046315,-46.192070444046315,-46.192070444046315,-46.192070444046315,-46.192070444046315,-46.192070444046315,-46.192070444046315,-46.192070444046315,43,,43,,43,,43,,43,,43,,0,0,0,0,0,0,93,,93,,93,,93,,93,,93,,0,0,0,0,0,0,47,,47,,47,,47,,47,,47,,0,0,0,0,0,0,2078417963.439885,,22111.14099130709,2078417963.439885,,22111.14099130709,2078417963.439885,,22111.14099130709,2078417963.439885,,22111.14099130709,2078417963.439885,,22111.14099130709,2078417963.439885,,22111.14099130709,1045541721.109107,,11099.302578742994,1045541721.109107,,11099.302578742994,1045541721.109107,,11099.302578742994,1045541721.109107,,11099.302578742994,1045541721.109107,,11099.302578742994,1045541721.109107,,11099.302578742994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032876242.3307779,,11011.838412564093,1032876242.3307779,,11011.838412564093,1032876242.3307779,,11011.838412564093,1032876242.3307779,,11011.838412564093,1032876242.3307779,,11011.838412564093,1032876242.3307779,,11011.838412564093,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-08 18:59:12,,,,,,,,500,LOW RISK
6KLG1K6xkbanXshFVqHrLEd5cEkwrmTUs3L7ViKypump,6KLG1K6xkbanXshFVqHrLEd5cEkwrmTUs3L7ViKypump,10,,10,,10,,10,,10,,10,,0,0,0,0,0,0,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,6.66201463821659e-06,3,2024-12-08T19:07:24,1733684844,1,6.583983753887613e-06,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,-1.1716729984961447,9,,9,,9,,9,,9,,9,,0,0,0,0,0,0,19,,19,,19,,19,,19,,19,,0,0,0,0,0,0,10,,10,,10,,10,,10,,10,,0,0,0,0,0,0,189013787.198178,,1349.3956611109343,189013787.198178,,1349.3956611109343,189013787.198178,,1349.3956611109343,189013787.198178,,1349.3956611109343,189013787.198178,,1349.3956611109343,189013787.198178,,1349.3956611109343,94506893.60372199,,674.6974953575991,94506893.60372199,,674.6974953575991,94506893.60372199,,674.6974953575991,94506893.60372199,,674.6974953575991,94506893.60372199,,674.6974953575991,94506893.60372199,,674.6974953575991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94506893.59445599,,674.6981657533353,94506893.59445599,,674.6981657533353,94506893.59445599,,674.6981657533353,94506893.59445599,,674.6981657533353,94506893.59445599,,674.6981657533353,94506893.59445599,,674.6981657533353,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-08 18:56:41,,,,,,,,500,LOW RISK
AWWSJwQ2n4ccPeJYSgqmr72T8jorfJ351S1v6E3pump,AWWSJwQ2n4ccPeJYSgqmr72T8jorfJ351S1v6E3pump,21,,21,,21,,21,,21,,21,,0,0,0,0,0,0,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,7.655626020048002e-06,6,2024-12-08T19:12:05,1733685125,1,6.949252538055209e-06,-9.260823391903974,-9.260823391903974,-9.260823391903974,-9.260823391903974,-9.260823391903974,-9.260823391903974,-9.260823391903974,-9.260823391903974,23,,23,,23,,23,,23,,23,,0,0,0,0,0,0,44,,44,,44,,44,,44,,44,,0,0,0,0,0,0,20,,20,,20,,20,,20,,20,,0,0,0,0,0,0,1085951759.9886389,,6498.372922297262,1085951759.9886389,,6498.372922297262,1085951759.9886389,,6498.372922297262,1085951759.9886389,,6498.372922297262,1085951759.9886389,,6498.372922297262,1085951759.9886389,,6498.372922297262,557623974.8928589,,4715.947583942169,557623974.8928589,,4715.947583942169,557623974.8928589,,4715.947583942169,557623974.8928589,,4715.947583942169,557623974.8928589,,4715.947583942169,557623974.8928589,,4715.947583942169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528327785.0957801,,1782.4253383550931,528327785.0957801,,1782.4253383550931,528327785.0957801,,1782.4253383550931,528327785.0957801,,1782.4253383550931,528327785.0957801,,1782.4253383550931,528327785.0957801,,1782.4253383550931,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-08 18:51:58,,,,,,,,500,LOW RISK
9ANwzESMzcMSnCEk2r8ZcwsmgA1WWosVJeQPA81Xpump,9ANwzESMzcMSnCEk2r8ZcwsmgA1WWosVJeQPA81Xpump,67,,67,,67,,67,,67,,67,,0,0,0,0,0,0,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,1.8165722944346308e-05,8,2024-12-08T18:52:02,1733683922,1,6.664779048492488e-06,-63.312284084766326,-63.312284084766326,-63.312284084766326,-63.312284084766326,-63.312284084766326,-63.312284084766326,-63.312284084766326,-63.312284084766326,65,,65,,65,,65,,65,,65,,0,0,0,0,0,0,132,,132,,132,,132,,132,,132,,0,0,0,0,0,0,64,,64,,64,,64,,64,,64,,0,0,0,0,0,0,2044937402.460091,,26668.215240045545,2044937402.460091,,26668.215240045545,2044937402.460091,,26668.215240045545,2044937402.460091,,26668.215240045545,2044937402.460091,,26668.215240045545,2044937402.460091,,26668.215240045545,1024085272.828597,,13344.19623889461,1024085272.828597,,13344.19623889461,1024085272.828597,,13344.19623889461,1024085272.828597,,13344.19623889461,1024085272.828597,,13344.19623889461,1024085272.828597,,13344.19623889461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020852129.631494,,13324.019001150933,1020852129.631494,,13324.019001150933,1020852129.631494,,13324.019001150933,1020852129.631494,,13324.019001150933,1020852129.631494,,13324.019001150933,1020852129.631494,,13324.019001150933,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-08 18:47:35,,,,,,,,500,LOW RISK
27k1Ct5ot1SiHHFVNx5Y154R33TKkRuXeymFN71bpump,27k1Ct5ot1SiHHFVNx5Y154R33TKkRuXeymFN71bpump,2535,,2535,,2535,,2152,461.87989556135767,2535,,2535,,0,0,0,383,0,0,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,3.942152517570997e-05,25,2024-12-08T19:12:50,1733685170,1,6.644534999282399e-06,-83.1440865327851,-83.1440865327851,-83.1440865327851,-83.1440865327851,-83.1440865327851,-83.1440865327851,-83.1440865327851,-83.1440865327851,263,,263,,263,,258,5060,263,,263,,0,0,0,5,0,0,2798,,2798,,2798,,2410,521.1340206185567,2798,,2798,,0,0,0,388,0,0,276,,276,,276,,276,101.45985401459853,276,,276,,0,0,0,137,0,0,1562667399.757853,,36228.685161323905,1562667399.757853,,36228.685161323905,1562667399.757853,,36228.685161323905,887763674.1542298,31.539305603955274,24335.301767812227,1562667399.757853,,36228.685161323905,1562667399.757853,,36228.685161323905,783161746.1464301,,18096.927286348055,783161746.1464301,,18096.927286348055,783161746.1464301,,18096.927286348055,119493054.55894995,-81.99507433850385,6657.414471465917,783161746.1464301,,18096.927286348055,783161746.1464301,,18096.927286348055,0,0,0,0,0,0,663668691.5874803,11439.512814882142,0,0,0,0,0,0,0,0,0,0,674903725.6036233,11893.383393511682,0,0,0,0,779505653.6114228,,18131.75787497585,779505653.6114228,,18131.75787497585,779505653.6114228,,18131.75787497585,768270619.5952798,6738.169056643657,17677.88729634631,779505653.6114228,,18131.75787497585,779505653.6114228,,18131.75787497585,0,0,0,0,0,0,11235034.016143,453.87057862954043,0,0,0,0,2024-12-08 18:43:20,,,,,,,,500,LOW RISK
7jXFUw8eV46jLqFutkZDfQFWYaX1PR7YSXSmjmFbpump,7jXFUw8eV46jLqFutkZDfQFWYaX1PR7YSXSmjmFbpump,0,-100,82,,82,,0,,82,,82,,82,0,0,0,0,0,2.7802939532533257e-05,8.608808212574368e-06,2.7802939532533257e-05,2.7802939532533257e-05,7.918785239581302e-06,2.7802939532533257e-05,2.7802939532533257e-05,2.7802939532533257e-05,19,2024-12-08T18:47:56,1733683676,1,7.288803662609468e-06,-73.58834923812321,-14.70113969849315,-73.58834923812321,-73.58834923812321,-7.268412152862931,-73.58834923812321,-73.58834923812321,-73.58834923812321,9,-92.80000000000001,134,,134,,3,-50,134,,134,,125,0,0,6,0,0,9,-95.65217391304348,216,,216,,3,-50,216,,216,,207,0,0,6,0,0,19,-75.64102564102564,78,,78,,9,-10,78,,78,,78,0,0,10,0,0,63488866.22752216,-96.33082984505401,497.05628021376583,1793821980.976647,,24897.098847810415,1793821980.976647,,24897.098847810415,36231447.76392312,32.92325468132048,2036.860416901664,1793821980.976647,,24897.098847810415,1793821980.976647,,24897.098847810415,1.4901161193847656e-08,-100,4.547473508864641e-12,924830878.689418,,12551.058327504032,924830878.689418,,12551.058327504032,0,,4.320099833421409e-12,924830878.689418,,12551.058327504032,924830878.689418,,12551.058327504032,924830878.689418,12551.058327504032,0,0,0,0,0,4.320099833421409e-12,0,0,0,0,1730333114.749125,24400.042567596654,0,0,0,0,27257418.463599116,1982.5243782921389,0,0,0,0,63488866.22752214,-92.11810180216358,497.0562802137613,868991102.2872291,,12346.040520306384,868991102.2872291,,12346.040520306384,36231447.76392312,32.92325468132048,2036.8604169016596,868991102.2872291,,12346.040520306384,868991102.2872291,,12346.040520306384,805502236.059707,11848.984240092625,0,0,0,0,27257418.463599116,1982.5243782921345,0,0,0,0,2024-12-08 17:34:48,,,,,,,,500,LOW RISK
3WcuajU3xSKF1xyg8CB3XNsDDkLUnqepXJ8ETqVTpump,3WcuajU3xSKF1xyg8CB3XNsDDkLUnqepXJ8ETqVTpump,6,-57.14285714285714,20,,20,,0,-100,20,,20,,14,0,0,6,0,0,6.653894998399174e-06,7.281695470461555e-06,6.653894998399174e-06,6.653894998399174e-06,8.984932419381334e-06,6.653894998399174e-06,6.653894998399174e-06,6.653894998399174e-06,12,2024-12-08T18:54:48,1733684088,1,8.281100427127976e-06,35.27084785764984,23.608302714722,35.27084785764984,35.27084785764984,0.17638152154378603,35.27084785764984,35.27084785764984,35.27084785764984,6,100,10,,10,,4,100,10,,10,,3,0,0,2,0,0,12,-29.411764705882355,30,,30,,4,-50,30,,30,,17,0,0,8,0,0,14,180,19,,19,,4,-71.42857142857143,19,,19,,5,0,0,14,0,0,49076000.29372699,-78.08394411948619,426.88479511835044,273134594.733507,,2113.292255172046,273134594.733507,,2113.292255172046,36286093.292248,183.70881264462622,312.6797164422201,273134594.733507,,2113.292255172046,273134594.733507,,2113.292255172046,9557972.19510599,-94.86767096362084,85.4218898873884,195788670.331504,,1497.3961925154026,195788670.331504,,1497.3961925154026,5.122274160385132e-09,-99.99999999999994,2.4868995751603507e-14,195788670.331504,,1497.3961925154026,195788670.331504,,1497.3961925154026,186230698.136398,1411.9743026280141,0,0,0,0,9557972.195106005,85.42188988738829,0,0,0,0,223927154.41724098,1685.319490433269,0,0,0,0,12789907.001479005,114.20507867613023,0,0,0,0,39518028.098620996,4.832209702172205,341.46290523096206,77345924.402003,,615.8960626566436,77345924.402003,,615.8960626566436,36286093.292247996,1022.7359295953629,312.6797164422201,77345924.402003,,615.8960626566436,77345924.402003,,615.8960626566436,37696456.280843,273.3451878052549,0,0,0,0,3231934.806373,28.783188788741942,0,0,0,0,2024-12-08 17:34:39,,,,,,,,500,LOW RISK
8zuFHDE9wYoJakdqsxanuYtXxd18pHLCHJNwTxsfpump,8zuFHDE9wYoJakdqsxanuYtXxd18pHLCHJNwTxsfpump,0,-100,142,,142,,0,,142,,142,,142,0,0,0,0,0,5.074455834421652e-05,7.684015843517419e-06,5.074455834421652e-05,5.074455834421652e-05,7.369158614002188e-06,5.074455834421652e-05,5.074455834421652e-05,5.074455834421652e-05,29,2024-12-08T19:14:10,1733685250,1,7.295710576653548e-06,-85.62276430998466,-5.05401210019235,-85.62276430998466,-85.62276430998466,-0.9973168559188138,-85.62276430998466,-85.62276430998466,-85.62276430998466,8,-92.5925925925926,116,,116,,1,-85.71428571428571,116,,116,,108,0,0,7,0,0,8,-96.8,258,,258,,1,-85.71428571428571,258,,258,,250,0,0,7,0,0,8,-93.4959349593496,123,,123,,1,-85.71428571428571,123,,123,,123,0,0,7,0,0,22431769.38124993,-99.14513825831635,167.8352431408761,2646454846.735344,,47444.48386363825,2646454846.735344,,47444.48386363825,1054404.3148218945,-95.06766006219455,7.692580395060771,2646454846.735344,,47444.48386363825,2646454846.735344,,47444.48386363825,8.547795005142689e-08,-100,8.930634010084759e-13,1350769676.459337,,22005.81275984546,1350769676.459337,,22005.81275984546,8.547795005142689e-08,0,8.930634010084759e-13,1350769676.459337,,22005.81275984546,1350769676.459337,,22005.81275984546,1350769676.459337,22005.81275984546,0,0,0,0,8.547795005142689e-08,8.930634010084759e-13,0,0,0,0,2624023077.354094,47276.64862049737,0,0,0,0,21377365.066427894,160.14266274581624,0,0,0,0,22431769.381249845,-98.23823212524024,167.8352431408752,1295685170.276007,,25438.671103792793,1295685170.276007,,25438.671103792793,1054404.314821809,-95.06766006219493,7.692580395059879,1295685170.276007,,25438.671103792793,1295685170.276007,,25438.671103792793,1273253400.894757,25270.83586065191,0,0,0,0,21377365.06642781,160.14266274581536,0,0,0,0,2024-12-08 17:33:33,,,,,,,,500,LOW RISK
B3ncGEaZ58Xb5wKAGxQL6heHr6AqqTopQaob1MXcpump,B3ncGEaZ58Xb5wKAGxQL6heHr6AqqTopQaob1MXcpump,3,-90.32258064516128,34,,34,,0,-100,34,,34,,31,0,0,3,0,0,6.61098960015705e-06,7.811809330770659e-06,6.61098960015705e-06,6.61098960015705e-06,7.771694550715815e-06,6.61098960015705e-06,6.61098960015705e-06,6.61098960015705e-06,21,2024-12-08T19:00:48,1733684448,1,7.815280978908748e-06,18.221614667079493,0.048763607077604326,18.221614667079493,18.221614667079493,0.5651804735237097,18.221614667079493,18.221614667079493,18.221614667079493,5,-54.54545454545454,16,,16,,2,-33.33333333333333,16,,16,,11,0,0,3,0,0,8,-80.95238095238095,50,,50,,2,-66.66666666666666,50,,50,,42,0,0,6,0,0,5,-84.375,35,,35,,5,0,35,,35,,32,0,0,5,0,0,66530254.74502596,-88.10520585491179,531.3741813880756,625852710.716227,,4834.001529932248,625852710.716227,,4834.001529932248,18591960.914149962,-61.21689065584703,146.3270732012969,625852710.716227,,4834.001529932248,625852710.716227,,4834.001529932248,32117730.39362401,-90.03342216714827,256.953834071997,354372078.19752,,2713.792337295509,354372078.19752,,2713.792337295509,1.1175870895385742e-08,-99.99999999999997,1.7053025658242404e-13,354372078.19752,,2713.792337295509,354372078.19752,,2713.792337295509,322254347.803896,2456.8385032235115,0,0,0,0,32117730.39362401,256.953834071997,0,0,0,0,559322455.971201,4302.6273485441725,0,0,0,0,47938293.83087597,385.0471081867792,0,0,0,0,34412524.351401955,-85.48411905024518,274.4203473160787,271480632.518707,,2120.209192636739,271480632.518707,,2120.209192636739,18591960.91414995,17.517691376100494,146.32707320129674,271480632.518707,,2120.209192636739,271480632.518707,,2120.209192636739,237068108.16730496,1845.7888453206606,0,0,0,0,15820563.437251957,128.09327411478222,0,0,0,0,2024-12-08 17:31:47,,,,,,,,500,LOW RISK
