Address,Error,liquidityAddedAt,Price,Liquidity,Market Cap,Circulating Market Cap,Total Supply,Circulating Supply
2GuBmbfbqLEVTKcYivEyg3UnpW2gRH9YSdZ4vvAcAJTY,,2024-10-27 21:15:30,0.000248315585911015,42077.64449431041,248315.585911015,248315.585911015,1000000000.0,1000000000.0
HESBpQwwy2iVvLPw7kJfi3yjLRUKb1bRq4P3pGLP22VC,,2024-10-27 21:00:36,0.0002558141696840915,41500.064111372805,255814.16968409152,255814.16968409152,1000000000.0,1000000000.0
GJLfHfzpBuEYmmD9Nb2DxKhyrWnyUzvSsmrtp3qNeVCj,,2024-10-27 20:41:20,0.0003826521861448872,96915.36844238028,382652.1861448872,382652.1861448872,1000000000.0,1000000000.0
