datetime,address,c,h,l,o,type,v
2024-11-09 20:00:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00014374995271708075,0.00015343137679017782,8.221378420233356e-05,8.221378420233356e-05,1m,529803248.1121493
2024-11-09 20:01:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00014180966402160098,0.00016421381181225416,0.00012684064446050533,0.00014374995271708075,1m,157930391.72399303
2024-11-09 20:02:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.0001350793782684364,0.0001815492757539029,0.00011114978985367563,0.00014180966402160098,1m,241696266.41921395
2024-11-09 20:03:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.0001987860431089186,0.00019886733878629733,0.00012999877112194913,0.0001350793782684364,1m,136878722.77781594
2024-11-09 20:04:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.0001815006752804591,0.00020859199540784602,0.000149691295662806,0.0001987860431089186,1m,76605930.86808102
2024-11-09 20:05:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00012331514379070938,0.00022936409709486288,0.00011012643494592163,0.0001815006752804591,1m,152133892.554221
2024-11-09 20:06:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00014141659781469358,0.0001854624079531608,0.00012234026866999356,0.00012331514379070938,1m,130963625.17132698
2024-11-09 20:07:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,9.44661548651722e-05,0.00014544515399699757,9.44661548651722e-05,0.00014141659781469358,1m,125971480.83805002
2024-11-09 20:08:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00011606069404737582,0.0001168254468286156,7.882680389033044e-05,9.44661548651722e-05,1m,235898680.12209898
2024-11-09 20:09:00,ADtvpTfJecQjMH8NAot1EjNyKedczvWmf2HdZsU5pump,0.00012961100914768046,0.00015923274822909067,0.00010968040792326475,0.00011606069404737582,1m,85491159.937256
