datetime,address,c,h,l,o,type,v
2024-11-12 04:15:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0015846173708917591,0.011265844937304469,0.0001054221653947155,0.0001054221653947155,15m,6434783038.446394
2024-11-12 04:30:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0036671361673499786,0.005828898744898546,0.0010681742413808837,0.0015846173708917591,15m,3113276286.030271
2024-11-12 04:45:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0033417503470318357,0.0059732234451919854,0.002393010785247109,0.0036671361673499786,15m,2280347631.8394637
2024-11-12 05:00:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0032863153095251314,0.005112390826399859,0.0025796257989912684,0.0033417503470318357,15m,922538235.621393
2024-11-12 05:15:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0026895698393181893,0.00402577438606321,0.0017712966017645714,0.0032863153095251314,15m,791424314.0187931
2024-11-12 05:30:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.0021177803840561754,0.005123819914554071,0.0018383118946130427,0.0026895698393181893,15m,425120663.28471863
2024-11-12 05:45:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.002026166642576439,0.003081202168610011,0.0015786507340073347,0.0021177803840561754,15m,450473943.7883652
2024-11-12 06:00:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.002102768443118336,0.002275050555684023,0.0013616986943136853,0.002026166642576439,15m,409148291.08367133
2024-11-12 06:15:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.001781076671840882,0.0025042752632722224,0.00150558358206624,0.002102768443118336,15m,181193656.29118514
2024-11-12 06:30:00,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,0.002173098723701315,0.0022530462191259057,0.0017147928080333257,0.001781076671840882,15m,69330200.58853796
