Address,Error,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
4SNxf4dJW8heoR5ppuYZbc6cXcFTaKv4Ery17YEYGMUD,,2024-10-27 04:27:38,0.0002431316151949865,67132.54348292877,1000000000.0,243131.61519498652,1000000000.0,243131.61519498652
94ASVkZkrkt9K2NKKEuyvWiPQGnkNsKQAqYNrAWx72if,,2024-10-27 04:07:30,0.00026512164275544067,49817.37278227061,1000000000.0,265121.64275544067,1000000000.0,265121.64275544067
6pQ5UgpPP5Ny1vfoxRRWVuFvkXAfNH5QgdWN975Sovc,,2024-10-27 03:43:07,0.0003446573840278073,70273.65526805639,1000000000.0,344657.3840278073,1000000000.0,344657.3840278073
5ULDXfva7noqKU8D2E3fHC7fkgncm6dAHEUfLrDZ3mjE,,2024-10-27 03:05:54,0.00026680190051864386,77286.78646153287,1000000000.0,266801.90051864384,1000000000.0,266801.90051864384
hf8aYwMK2cYv7t4uUhUAqpdwTS3sja2z9RJMQZ2pump,,2024-10-27 02:50:45,0.0031797248647947767,247553.60942530804,999999999.377702,3179724.8628160404,999999999.377702,3179724.8628160404
B6X51M56VjmmTZ4sZ6tdPEWefSuqLp1GYSRrCzYpump,,2024-10-27 02:25:43,0.00020658808233767957,51302.83714089431,999967759.372849,206581.4218083431,999967759.372849,206581.4218083431
G1pKojoCJopPDVMMLUowsyXTaPzKPnBfNWQhraqvpump,,2024-10-27 02:11:37,0.00028164427138987043,53416.57255551027,999999936.278512,281644.25344307837,999999936.278512,281644.25344307837
EZDW15KWEhT5e61LSjAWSkhNKKWAuxBAHqEjw4qahmtj,,2024-10-27 01:45:05,0.0008891794107928603,35581.22725067693,1100000000.0,978097.3518721462,1100000000.0,978097.3518721462
aLaZ7pqNznDjDUw6D15r4VCmogF8cKtYTaKaUGipump,,2024-10-27 01:34:08,0.000440411918587019,88791.38686136836,999985846.047566,440405.68501767196,999985846.047566,440405.68501767196
Dvmw8Nq6SRoxFWP36PWRycuY8NfT7qHHGa7k3wPTbWWD,,2024-10-27 01:02:01,0.000305518524868355,65639.13954557767,950001707.046966,290243.1201594082,950001707.046966,290243.1201594082
4qe5LzsmEJwr2rusq2Q4tvtEB1wdtpH6CokuCmAKpump,,2024-10-27 01:01:10,0.0004248631563230858,91100.63655154794,999986792.15103,424857.54479468416,999986792.15103,424857.54479468416
HHLT4ZYxyCVMpRn8dve35fqhnxj4KAcG8bEjBMeePn7g,,2024-10-27 00:52:03,3.557418850486437e-05,273092.71326673776,7500000000.0,266806.41378648276,7500000000.0,266806.41378648276
E6hawBNLniT1S4h26wzvqBQhbCi1B1GvQrc7a21Hpump,,2024-10-27 00:19:44,0.0002136622816681792,49932.66938088385,999990670.477545,213660.2883011246,999990670.477545,213660.2883011246
DEGRZALfkV1KAPbV82Xb5hjsZYvwS6VAmGG1KSbc3KAv,,2024-10-26 23:27:00,0.0007046539317455248,105937.6453600936,1000000000.0,704653.9317455248,1000000000.0,704653.9317455248
7rRfJ5tdUjFPCWZRyYM7UNnfrpK1dqwzfpMYDknspump,,2024-10-26 23:09:42,0.002199108324955815,156803.1858984111,999999999.343372,2199108.323511819,999999999.343372,2199108.323511819
2TobzM4NNpEvyVAEpFC8AkxJGBHz8fFgMksK1gBy5dub,,2024-10-26 21:39:52,0.0012241660698265595,149542.61686498555,999999654.97048,1224165.647453128,999999654.97048,1224165.647453128
9EeRJ2h9L7vDBHPadknm9UY3TBBfFxb4qQzC8T8qQMg6,,2024-10-26 21:04:46,0.0007846070783218116,35323.97398848473,1000000000.0,784607.0783218116,1000000000.0,784607.0783218116
CnTFQGX95Kw6XJVHxGgyWQoLrrU4o8UaEwDzE7D2pump,,2024-10-26 20:40:38,0.0007734701944000533,98480.86513562192,999999951.26484,773470.1567048596,999999951.26484,773470.1567048596
