Address,0,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,0,liquidityAddedAt,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,RugCheck_Score,Risk_Status
kXEmwb9PKgj4nzWPvoDh3kK3ZV5QHzUdJB5q7m4J65A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-30 02:49:14,kXEmwb9PKgj4nzWPvoDh3kK3ZV5QHzUdJB5q7m4J65A,0.0014406985916556722,125819.4401392853,1000000000.0,1440698.591655672,1000000000.0,1440698.591655672,600,LOW RISK
9KoJm3FhN9YzH7TM71PfBVqUFpABnwmSzsY9vEwKMmeZ,,9KoJm3FhN9YzH7TM71PfBVqUFpABnwmSzsY9vEwKMmeZ,3910,,3910,,3910,,3910,,3910,,3910,,0,0,0,0,0,0,6.689032054696078e-05,0.00021792882557871525,6.689032054696078e-05,6.689032054696078e-05,0.000219680076777866,6.689032054696078e-05,6.689032054696078e-05,6.689032054696078e-05,1000,2024-11-30T02:42:57,1732934577,1,0.00020050358043571906,183.92356355900813,-12.853482659467247,183.92356355900813,183.92356355900813,-13.548199473267076,183.92356355900813,183.92356355900813,183.92356355900813,1102,,1102,,1102,,1102,,1102,,1102,,0,0,0,0,0,0,5012,,5012,,5012,,5012,,5012,,5012,,0,0,0,0,0,0,442,,442,,442,,0,,442,,442,,0,0,0,0,0,0,3837603460.885422,,613834.9921810206,3837603460.885422,,613834.9921810206,3837603460.885422,,613834.9921810206,3837603460.885422,,613834.9921810206,3837603460.885422,,613834.9921810206,3837603460.885422,,613834.9921810206,2364631979.669703,,315624.2077574177,2364631979.669703,,315624.2077574177,2364631979.669703,,315624.2077574177,2364631979.669703,,315624.2077574177,2364631979.669703,,315624.2077574177,2364631979.669703,,315624.2077574177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472971481.2157192,,298210.78442360286,1472971481.2157192,,298210.78442360286,1472971481.2157192,,298210.78442360286,1472971481.2157192,,298210.78442360286,1472971481.2157192,,298210.78442360286,1472971481.2157192,,298210.78442360286,0,0,0,0,0,0,0,0,0,0,0,0,,2024-11-30 01:29:25,9KoJm3FhN9YzH7TM71PfBVqUFpABnwmSzsY9vEwKMmeZ,0.00020050358043571906,31652.753546767613,999999298.4963648,200503.43978172852,999999298.4963648,200503.43978172852,400,LOW RISK
8qoMsBVqRQUkSdaJLb8mBnrFKNXaC16cJvC7CwRhpump,,8qoMsBVqRQUkSdaJLb8mBnrFKNXaC16cJvC7CwRhpump,3510,-67.89829888421438,22137,,14459,89.32827026319235,1642,-68.12888198757764,22101,,22134,,10934,0,7637,5152,0,0,8.95002245967117e-06,0.0001466184827555258,8.95002245967117e-06,0.00016620266730183215,0.00012042970173841509,2.352150631432642e-05,8.95002245967117e-06,8.95002245967117e-06,2258,2024-11-30T02:42:58,1732934578,3,0.0002358172744680293,3368.487916096227,111.72668115738857,3368.487916096227,86.77825846069967,157.76900799428836,1219.7728213201917,3368.487916096227,3368.487916096227,3510,-58.37286527514232,17556,,11949,113.98638968481376,570,-86.02941176470588,17538,,17552,,8432,0,5584,4080,0,0,7020,-63.75090364556439,39693,,26408,99.74283337115195,2212,-76.03986135181977,39639,,39686,,19366,0,13221,9232,0,0,3626,-34.287785429503444,6015,,3851,-8.808903623016812,1924,-30.541516245487365,6015,,6015,,5518,0,4223,2770,0,0,3159138106.9029417,-79.96897122613738,1312268.553400334,26881550391.33366,,7417964.647144312,12907277215.766449,-7.180098859005504,4976868.372824896,5265159191.372443,150.00505598920816,601080.6414048928,26841424843.251633,,7409348.264059567,26860864698.946632,,7415042.760752357,2430591457.8990436,-70.64333625108071,649265.8011643045,13799746570.12821,,3721993.2420468978,5991803216.968397,-22.9219391205294,2469486.3284075595,3085938014.508347,370.8864315202622,329572.5577908814,13770073510.431969,,3716084.2083003777,13782442836.958487,,3719574.3743520076,8279522082.915575,1804917.0762599288,0,0,7773681834.494992,1244855.3033365584,655346556.6092786,978838.3589551859,0,0,0,0,15771222449.768164,3566022.5605668076,0,0,13905721787.141474,2420562.685969203,2106021084.4694762,1940775.5384426343,0,0,0,0,728546649.0038981,-90.27528313562311,663002.7522360296,13081803821.20545,,3695971.4050974143,6915473998.798053,12.776075371352642,2507382.0444173366,2179221176.864096,50.22123398544355,271508.0836140114,13071351332.819666,,3693264.055759189,13078421861.988146,,3695468.386400349,7491700366.852589,1761105.4843068789,0,0,6132039952.6464815,1175707.3826326441,1450674527.8601978,961937.1794874484,0,0,0,0,,2024-11-29 22:57:29,8qoMsBVqRQUkSdaJLb8mBnrFKNXaC16cJvC7CwRhpump,0.00023614996380604477,87183.25733288482,973745574.222191,229949.98210886668,973745574.222191,229949.98210886668,400,LOW RISK
Dx7MFxtRKGcVmLCT2ZVTKeCj9UcwyurSnhWH1B85moKK,,Dx7MFxtRKGcVmLCT2ZVTKeCj9UcwyurSnhWH1B85moKK,852,-56.838905775075986,3674,,1122,222.41379310344826,2078,69.49429037520392,774,-73.3103448275862,3674,,1974,0,348,1226,2900,0,0.00020509564230138406,0.0002699961977133757,0.00020509564230138406,0.00023149796272757797,0.00029728631126641787,0.0001632640241396233,0.0002186481687608536,0.00020509564230138406,691,2024-11-30T02:42:20,1732934540,1,0.0003108679369518361,53.31838057328857,16.46435026343658,53.31838057328857,35.83243398686153,5.773224493026814,92.60171924584546,43.8152074105846,53.31838057328857,488,-56.233183856502244,2196,,628,300,1242,64.72148541114059,471,-72.69565217391303,2196,,1115,0,157,754,1725,0,1340,-56.62026545807704,5870,,1750,246.53465346534654,3320,67.67676767676768,1245,-73.08108108108108,5870,,3089,0,505,1980,4625,0,120,13.20754716981132,1470,,126,-18.181818181818183,79,41.07142857142857,238,-82.4742268041237,1470,,106,0,154,56,1358,0,1494561315.224095,-45.85992791470926,381208.0353237218,4395605228.1417465,,953951.3897771435,1265468259.788578,180.1786880842469,279910.11118203343,2598063179.4122095,135.43804172217614,641634.9686122814,813803549.5133739,-77.27949164887835,188694.00715970987,4395605228.1417465,,953951.3897771435,830670281.2459542,-43.43760684709222,209574.02533038042,2182958995.0846972,,485723.7089856175,635775384.9018599,193.96713755582974,144583.63682789417,1341723645.3305602,162.54081072997977,335164.285458426,419501079.4852818,-76.21144934764773,99883.38069478874,2182958995.0846972,,485723.7089856175,1468591116.7166567,354518.69083712663,0,0,216274305.41657552,44700.25613310497,511053364.0846061,125590.26012804461,1763457915.599413,385840.32829082827,0,0,2760545484.441922,661118.2543225739,0,0,451664710.2752029,91216.10402232333,1103501864.1881166,260426.93328855818,3581801678.628368,765257.3826174322,0,0,663891033.978141,-48.61343012082935,171634.0099933414,2212646233.0570493,,468227.6807915259,629692874.8867183,167.51000121050146,135326.4743541393,1256339534.0816493,112.0588597763597,306470.6831538554,394302470.028092,-78.31529559783174,88810.62646492112,2212646233.0570493,,468227.6807915259,1291954367.7252655,306599.56348544726,0,0,235390404.85862735,46515.847889218356,592448500.1035104,134836.67316051357,1818343763.028955,379417.05432660395,0,0,,2024-11-29 19:21:22,Dx7MFxtRKGcVmLCT2ZVTKeCj9UcwyurSnhWH1B85moKK,0.0003108679369518361,76146.43375549879,965552751.9362091,300159.3920125773,965552751.9362091,300159.3920125773,0,LOW RISK
AmtvMBMYtb5auN4KiFdMe9C8wjiu1KQZYQUL73Pw7ZZE,,AmtvMBMYtb5auN4KiFdMe9C8wjiu1KQZYQUL73Pw7ZZE,191,-74.6684350132626,4799,,946,16.07361963190184,209,1061.111111111111,1762,-20.91561938958707,3992,397.1357409713574,754,0,815,18,2228,803,4.784624885907913e-12,7.977509261080795e-12,4.784624885907913e-12,1.4369518200965725e-11,1.189858055861614e-11,1.0803889448466456e-11,4.813616518551035e-12,4.931628173694456e-12,2622,2024-11-30T02:42:45,1732934565,1,1.0355915837155332e-11,181.22169467983866,68.66671974756929,181.22169467983866,-6.361486863775015,13.084103788161908,24.54221465708759,179.52794196147954,172.83896340756797,153,-60.66838046272493,2473,,541,22.67573696145125,93,55.00000000000001,985,-13.520632133450395,2125,510.632183908046,389,0,441,60,1139,348,344,-69.90376202974629,7272,,1487,18.39171974522293,302,287.1794871794872,2747,-18.41401841401841,6117,431.4509122502172,1143,0,1256,78,3367,1151,714,-0.41841004184100417,2163,,772,2.1164021164021163,408,2,1229,26.180698151950722,1947,437.84530386740335,717,0,756,400,974,362,18032140551114684,-31.757563898074835,52644.12873098256,123770715962045470,,968803.4053888108,8364497148423910,446.7904792141883,118712.72778227052,1109447887139045,-93.88100608777094,9545.707171741415,7001856267327970,-84.26209081170417,139313.62398303108,51490155635885090,-28.761536270397176,643695.5422020482,11794205279400022,-25.196199747701385,35613.6775379489,64928751813333830,,495272.81055042264,3959240219233127,860.0123813432059,56854.4673754874,604260719211963.9,-95.12632676268488,8587.164211466998,3653571823323469.5,-81.75375069228056,71977.10022218,23658334450426730,-42.6720961299624,320746.9435506075,15766853073801692,92623.55374366659,0,0,412415537151045.56,13404.379053866222,12398465998611914,44200.841749415675,20023686850413450,248854.80634599796,41268444951450150,174495.33214758776,26423647192462970,171672.47583995567,0,0,1529744475515525,17964.759050254706,18131214102399508,62189.83590272368,44490384228009140,504255.16764057346,72278587914703420,325077.3283345347,6237935271714661,-41.46517984436506,17030.451193033656,58841964148711640,,473530.59483838815,4405256929190783,294.26678911933465,61858.26040678312,505187167927081.1,-91.18769639305611,958.5429602744175,3348284444004500,-86.314930894308,67336.52376085107,27831821185458356,-10.249297404275747,322948.5986514407,10656794118661278,79048.92209628907,0,0,1117328938364479.5,4560.379996388484,5732748103787594,17988.994153308005,24466697377595690,255400.36129457553,31010142963253270,150581.99618694696,,2024-11-29 16:06:12,AmtvMBMYtb5auN4KiFdMe9C8wjiu1KQZYQUL73Pw7ZZE,1.0355915837155332e-11,59545.6258416608,4.206899957526826e+16,435663.0189548015,4.206899957526826e+16,435663.0189548015,400,LOW RISK
STKmfGGegeoYqrHrJ3nvTafSvRC6GJJBbLwN1cqpump,,STKmfGGegeoYqrHrJ3nvTafSvRC6GJJBbLwN1cqpump,109,354.16666666666663,13935,278600,134,1.5151515151515151,101,1162.5,271,-90.8445945945946,3232,-76.87133247459568,24,5,132,8,2960,13974,0.0018730033498168747,0.001456207055288298,4.7857029436743705e-05,0.0013509779598521647,0.0012481026806117823,0.001154360685924214,0.0008553753744199353,0.0004530171591170513,1481,2024-11-30T02:42:39,1732934559,5,0.0008692565436339259,-49.03499388942329,-34.44776495080977,1894.641712869398,-29.341832357506824,-23.517809350623924,-17.30693159207724,11.59735248782601,110.71525713197805,97,42.64705882352941,11990,239700,29,-52.459016393442624,65,103.125,28,-98.95209580838323,2645,-79.06111462951235,68,5,61,32,2672,12632,206,123.91304347826086,25925,259150,163,-15.544041450777202,166,315,299,-94.69105113636364,5877,-77.91099751935654,92,10,193,40,5632,26606,226,-31.30699088145897,5528,92033.33333333334,255,-38.10679611650485,130,6.557377049180328,525,-33.87909319899244,1137,-72.9478943611706,329,6,412,122,794,4203,119455777.23683521,-38.360086975466196,173988.1882005775,7283829325.514374,38302.15554303888,8122712.396926997,313070194.53509486,115.28257644462327,1477.7864256410548,50185279.78045578,-27.551726025854993,82204.45107103139,166096356.5710066,-84.2726883426914,142247.16476074484,890201087.304832,-83.11701408797903,2764220.810727166,76916144.9158709,23.02951975487204,62901.57316442173,3761130523.3096347,33889.6977057431,4087876.59677551,139252860.795333,38.54289700429255,789.7583978912536,45214888.78500593,42.62806684490024,36134.55590229442,37455731.327671975,-92.69024128272076,87681.70394322868,475088750.72712904,-82.07611383351188,1352908.567334337,62518446.84846458,62355.2274809649,11065501.540704,528.4508825454823,100512450.51633246,85426.2604957839,31701256.130866934,26767.017262128014,512407218.5738765,1264983.9204774548,2650590091.4244356,4356808.9493026445,193796148.2672593,172753.81448936806,18967240.829362,908.4696109068045,145422913.31952044,138996.87115137302,69270497.45638615,91783.73712954707,1056101387.1294423,2621626.99622156,5272770420.728685,8792344.435460579,42539632.3209643,-67.59569076757617,111086.61503615577,3522698802.204739,44481.3089184194,4034835.800151487,173817333.7397619,287.030822865231,688.0280277498014,4970390.99544986,-86.77005225529088,46069.89516873697,128640625.2433346,-76.3395245556717,54565.46081751614,415112336.577703,-84.16919187675221,1411312.2433928289,131277701.4187947,110398.58700840316,7901739.2886580005,380.0187283613222,44910462.803187974,53570.6106555891,37569241.32551922,65016.71986741905,543694168.5555658,1356643.075744105,2622180329.3042493,4435535.486157933,,2024-11-29 09:06:00,STKmfGGegeoYqrHrJ3nvTafSvRC6GJJBbLwN1cqpump,0.0008692565436339259,150346.0266723563,999995809.582824,869252.901086375,999995809.582824,869252.901086375,2300,LOW RISK
DEKwX2v6ki3M53jcBXpDodZvXfGXkmWYJ5Lx9TjgdRJ5,,DEKwX2v6ki3M53jcBXpDodZvXfGXkmWYJ5Lx9TjgdRJ5,4,-73.33333333333333,335,,19,171.42857142857142,1,-66.66666666666666,26,-54.385964912280706,83,1085.7142857142858,15,0,7,3,57,7,0.00013083104127419203,0.0002684552550091794,8.711616707776336e-05,0.00023344027683257142,0.0002735082561553638,0.00023901770432518144,0.0002540703678881951,0.00018846614682902816,174,2024-11-30T02:24:38,1732933478,1,0.0002820907914025362,114.73589030088178,4.651034400665393,222.49031459254977,20.348212862833297,2.7176309845887663,17.539912812413423,10.576138258547287,49.067196415339936,24,2300,267,,25,-44.44444444444444,8,-50,20,-44.44444444444444,56,459.99999999999994,1,0,45,16,36,10,28,75,602,,44,-15.384615384615385,9,-52.63157894736842,46,-50.53763440860215,139,717.6470588235294,16,0,52,19,93,17,14,-39.130434782608695,228,,14,-62.16216216216216,6,-45.45454545454545,42,7.6923076923076925,67,59.523809523809526,23,0,37,11,39,42,17829454.519893892,-53.25577220867126,2006.9483380683023,611605707.4960281,,78280.71836513614,24143742.74606409,17.226309799310872,5716.691140885472,2857534.6760135153,-86.18680249236638,778.2746340549227,23618506.900970362,-72.12239645433795,6848.8574391419,108340663.38864872,98.31455021443527,25711.303782533243,15914145.928849623,-46.0488978924472,1450.35152979935,346627345.26554835,,46625.35076904861,13583205.018911261,5611.685489418366,2807.164459335985,2420155.030845751,-86.79985107604584,739.6647773558334,13821019.32160827,-78.48850725424703,4026.7222158761783,78070485.80429554,134.928151520766,18134.15128753838,29497350.947760798,4257.515989135324,0,0,237814.30269709177,1219.5577565401968,18334300.95969541,2190.016307155179,64249466.48268733,14107.429071662198,33231643.504160743,2396.8640315839893,38142580.08386938,6610.4458624158615,0,0,20595839.609212045,6951.219661355401,20686989.19590737,2708.0032587250357,84722156.48767829,18862.446343391333,54630718.35702483,4574.449102124812,1915308.5910442707,-77.84548493868616,556.5968082689523,264978362.23047975,,31655.367596087533,10560537.727152828,-48.12592298049037,2909.5266815494865,437379.6451677643,-81.40936659453082,38.609856699089335,9797487.579362094,-52.14362364216133,2822.1352232657214,30270177.584353182,41.45554325355226,7577.1524949948625,8645229.136108588,2352.9298732805373,0,0,20358025.306514952,5731.661904815204,2352688.2362119597,517.9869515698565,20472690.00499096,4755.017271729135,21399074.852864087,2177.5850705408225,,2024-11-29 02:01:02,DEKwX2v6ki3M53jcBXpDodZvXfGXkmWYJ5Lx9TjgdRJ5,0.0002820907914025362,64014.014405695474,990099201.393239,279297.86728803784,990099201.393239,279297.86728803784,500,LOW RISK
9cYXqd1ggyMTjwZFWnbDuf5EfLEcLuumMG67jRkJpump,,9cYXqd1ggyMTjwZFWnbDuf5EfLEcLuumMG67jRkJpump,324,17.81818181818182,2362,-35.34081576786203,598,536.1702127659574,186,34.78260869565217,696,217.80821917808217,915,916.6666666666666,275,3653,94,138,219,90,0.0002927689968001028,0.0006950735193927872,9.891718757063504e-05,0.000640705941682026,0.0005678211694756368,0.0002360967855919199,0.00023576818995715634,0.0002507504585096567,724,2024-11-30T02:41:34,1732934494,3,0.0006288314716789035,89.48856820213588,-20.186316310696068,460.8365884645928,-13.41366700613589,-2.299560143455563,134.97303395529917,135.30052136256512,121.2413821587916,354,6.306306306306306,2756,-1.9217081850533808,689,6790.000000000001,252,147.05882352941177,702,200,936,500,333,2810,10,102,234,156,678,11.513157894736842,5118,-20.810768992727834,1287,1137.5,438,82.5,1398,208.60927152317882,1851,652.439024390244,608,6463,104,240,453,246,370,7.55813953488372,1707,30.40488922841864,385,154.96688741721854,244,20.19704433497537,453,76.26459143968872,627,-1.2598425196850394,344,1309,151,203,257,635,259884434.66935664,-48.5397087763318,220510.54241001495,401426447.45173633,-97.7039191359971,1389243.9588413471,765326143.7920005,715.6770330277395,440782.6465439667,187411721.67380723,135.26649166375603,144664.13787627761,672451083.7646005,110.92175204515928,454305.7617074438,991110393.105996,279.71640171938515,583971.7244222611,186543567.1971333,-34.4176564647986,129190.85874071522,297640784.65264,-96.82406317627971,720293.4933653156,470185035.6521797,737.9122628239427,249899.2674438894,110477543.42535138,45.23901467075115,76929.57686911113,414840052.91603357,330.37220029380126,255516.7506011769,511074932.15905154,434.32526115491453,307395.2403936202,284441752.3704468,120949.33308528719,9371747650.319534,508184.17424064,56113874.50847849,5447.567293535744,76066023.77177915,51259.67151483364,96390996.59151675,51432.57333650074,95648656.22381231,24368.124216233937,505019362.482402,219855.74176307206,17483114542.921814,999168.8195001781,93827104.69990312,13255.873383876777,79659334.54801415,74844.79417696717,318815426.6899062,129220.0462588756,261013321.68380713,34285.60495108716,73340867.47222334,-66.75053853607406,91319.68366929972,103785662.79909635,-98.72049108154938,668950.4654760315,295141108.1398208,682.5930227714389,190883.3791000773,76934178.24845585,2041.0388090357696,67734.56100716649,257611030.84856698,15.819575545102115,198789.0111062669,480035460.9469445,190.28901646650453,276576.48402864084,220577610.11195523,98906.40867778487,8111366892.602282,490984.6452595381,37713230.19142462,7808.306090341032,3593310.776235002,23585.122662133537,222424430.09838942,77787.47292237487,165364665.45999482,9917.480734853225,,2024-11-29 00:23:21,9cYXqd1ggyMTjwZFWnbDuf5EfLEcLuumMG67jRkJpump,0.0006288314716789035,116594.56459367365,999995055.102864,628828.3621719602,999995055.102864,628828.3621719602,400,LOW RISK
A5v9vstRtEMXbTakyASPo1dwz33hH8RFrX8GamSH3ice,,A5v9vstRtEMXbTakyASPo1dwz33hH8RFrX8GamSH3ice,170,-53.80434782608695,4262,-91.4857062948239,538,384.68468468468467,55,-52.17391304347826,648,-23.494687131050767,1495,-6.620861961274203,368,50057,111,115,847,1601,0.0008426150460167697,0.0007181803990662097,0.0005180640010590801,0.0007330956737444264,0.0007182459304651243,0.0006625282478918105,0.00045423674421825815,0.0006480160458135658,1721,2024-11-30T02:42:31,1732934551,2,0.0006180147535874291,-14.431840452926822,0.39402187538719496,39.17396025767278,-1.648555193270183,0.3848621148969437,8.827086126147044,58.73004465636807,11.264249026128006,152,-51.43769968051119,4535,21.67963509525087,465,136.04060913705584,87,33.84615384615385,661,-23.760092272203,1529,-12.67846944603084,313,3727,197,65,867,1751,322,-52.71659324522761,8797,-83.64383459764986,1003,225.64935064935065,142,-21.11111111111111,1309,-23.628938156359393,3024,-9.785202863961814,681,53784,308,180,1714,3352,131,1.550387596899225,683,-60.99371787549971,133,6.4,111,-2.631578947368421,150,-27.536231884057973,251,-32.34501347708895,129,1751,125,114,207,371,70268470.64058487,-39.58638347855687,37431.56472356905,975192514.7811258,-76.02370338840785,218180.52639253123,133409193.3990934,207.390569072231,85191.45485569643,54053141.44394731,233.34593944072725,29183.475473827966,89718007.709315,-77.3932282992246,86486.60233463011,486652982.05716497,47.90472454876187,289948.4646724756,26585791.725440163,-66.31292034516842,10805.530696030857,592392439.2770692,-80.05876385684172,80616.8569099054,52334055.283702314,143.85376985448806,35709.769351095965,26180309.307198465,6356.583104281034,17787.371406914877,30860420.909376495,-84.56121243090578,36635.21090296407,230751649.65655926,35.43470406970306,140397.0369632643,78919847.00913987,46515.30004712759,2970690658.413949,1058294.3146546902,21461245.120356757,919.7046014213502,405482.4182444058,6981.840710884029,199888888.7567424,103758.66572255563,170378523.91053346,93715.24470675254,116312306.20938554,69370.95152418964,4067319196.867276,2037634.8602196784,43400548.62507664,1436.4383232117198,16215329.19664035,22211.770671509486,396863421.70756626,203411.33527729247,329031397.43634295,183548.40236085764,43682678.915144704,16.82216107053397,26626.03402753819,382800075.50405663,-65.09300441478992,137563.66948262585,81075138.11539109,269.5428986519519,49481.685504600464,27872832.136748843,76.3004570976418,11396.104066913087,58857586.79993851,-70.11918956313366,49851.39143166604,255901332.4006057,61.296374098749574,149551.42770921125,37392459.20024568,22855.65147706206,1096628538.4533272,979340.545564988,21939303.504719876,516.7337217903697,15809846.778395943,15229.929960625457,196974532.95082384,99652.66955473686,158652873.5258095,89833.15765410509,,2024-11-28 19:30:53,A5v9vstRtEMXbTakyASPo1dwz33hH8RFrX8GamSH3ice,0.0006180147535874291,65755.77581940014,999958394.952259,617989.0410541014,999958394.952259,617989.0410541014,2500,LOW RISK
Ab1TGzvprBRCRixU2cAHQU91TfqQbntQF4Ev9LdeTuYf,,Ab1TGzvprBRCRixU2cAHQU91TfqQbntQF4Ev9LdeTuYf,41766,64.53671604160101,61365,191.43712006079028,16382,-72.71894619394162,16106,-37.233047544816834,43468,4212.3015873015875,44479,1686.3052208835343,25384,21056,60049,25660,1008,2490,0.00010207894501199727,0.0002359627786740037,0.0005841490657219219,0.00018931425135819443,0.0002528846364957726,0.00019672861104156025,0.0001666729280061659,0.0002712834597969052,4428,2024-11-30T02:42:57,1732934577,2,0.00021383794062871802,94.0885774011976,-16.03609123723048,-66.08338798674876,4.653279284861674,-21.65456354117098,0.7090789443337785,18.86967761951531,-26.968060511960317,1227,5.23156089193825,16798,44.723011975532,2393,-16.996184530003468,1317,1363.3333333333333,5274,441.4784394250513,6244,326.21160409556313,1166,11607,2883,90,974,1465,42993,61.93220338983051,78163,139.30135015154764,18775,-70.16621114854128,17423,-32.337864077669906,48742,2359.233097880928,50723,1182.5031605562579,26550,32663,62932,25750,1982,3955,5874,-70.65640923169147,68624,255.85978012860403,6110,-83.87820259109739,4627,258.6821705426357,42957,1026.297850026219,46620,664.2622950819672,20018,19284,37899,1290,3814,6100,2554453014.771929,1.7414920426739449,597978.4788812175,13976336233.100441,-73.50304030572885,6413378.198550074,5065344550.893658,16.112121623953442,1123154.4337721025,2769924027.342105,1185.5204949852873,624500.0544169905,9427878104.282331,546.233831290724,2235948.679244845,10888309955.21833,128.1634990862864,2586966.4918817757,1317664239.4965234,10.87526059577967,309832.07494286273,6523691121.783394,-75.95674063852243,3203575.363344123,2506244571.2372866,13.145055843642355,558125.2844152126,1378926426.4915004,2150.8605946510165,312545.0859746841,4721522828.241331,543.1303371864317,1124620.1052854306,5457229979.619242,127.83653952782075,1298020.903955943,1188420421.6667957,248312.035387625,27133139578.553734,2295715.1863023094,2215072105.9351645,566401.3787093785,61262186.99498337,2713.0110318195157,734147116.8810139,173033.86568323534,2395239144.225533,2941.3554445164255,2510728871.265719,525256.3542788413,52746943024.267914,4548868.775321476,4362459732.928262,1112673.5756844645,215471012.57018906,26521.57553577176,1458895781.6479545,350635.89754629723,4772152425.266151,25961.873969474076,1236788775.2754054,-6.467452760319066,288146.4039383548,7452645111.317047,-70.90379362396467,3209802.8352059512,2559099979.6563716,19.172707688540573,565029.1493568899,1390997600.8506048,802.0220442391172,311954.9684423064,4706355276.041,549.3775711272866,1111328.5739594146,5431079975.599089,128.49297948393595,1288945.587925833,1322308449.5989232,276944.31889121636,25613803445.714184,2253153.5890191663,2147387626.993097,546272.196975086,154208825.57520568,23808.564503952246,724748664.7669407,177602.0318630619,2376913281.0406184,23020.51852495765,,2024-11-28 19:07:09,Ab1TGzvprBRCRixU2cAHQU91TfqQbntQF4Ev9LdeTuYf,0.00021383794062871802,53115.75236195506,999999165.6006091,213837.7622024706,999999165.6006091,213837.7622024706,500,LOW RISK
