Address,0,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,0,liquidityAddedAt,Address_market,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap,0_market,RugCheck_Score,Risk_Status
GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,,GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,169,,171,,169,,90,13.924050632911392,170,,170,,0,0,0,79,0,0,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,0.000220580230620158,0.00021059527757149676,0.00021059527757149676,0.00021059527757149676,245,2024-12-04T23:16:26,1733354186,1,0.0002272273623344256,10.762103625164112,10.762103625164112,10.762103625164112,10.762103625164112,5.748261717578645,10.762103625164112,10.762103625164112,10.762103625164112,159,,161,,159,,95,48.4375,160,,160,,0,0,0,64,0,0,328,,332,,328,,185,29.37062937062937,330,,330,,0,0,0,143,0,0,146,,146,,146,,91,44.44444444444444,146,,146,,0,0,0,63,0,0,10178425388.654024,,57195.93611311255,10183058812.889732,,58316.967284410544,10178425388.654024,,57195.93611311255,164362481.36872905,-98.35868335469358,39027.56754299409,10180484239.315836,,57677.908319381226,10180484239.315836,,57677.908319381226,10073114873.493263,,32265.506994543386,10075689447.06716,,32886.20536028966,10073114873.493263,,32265.506994543386,81905608.41840641,-99.18022327182443,19498.37110534561,10074967084.29362,,32701.549515004248,10074967084.29362,,32701.549515004248,0,0,0,0,0,0,9991209265.074858,12767.135889197787,0,0,0,0,0,0,0,0,0,0,10014062907.285295,18168.368570118477,0,0,0,0,105310515.16076012,,24930.429118569165,107369365.8225719,,25430.76192412088,105310515.16076012,,24930.429118569165,82456872.95032264,260.80407749038665,19529.19643764848,105517155.0222165,,24976.35880437698,105517155.0222165,,24976.35880437698,0,0,0,0,0,0,22853642.210437503,5401.232680920689,0,0,0,0,,2024-12-04 22:29:50,GgKNpipDKFt2eztjg5oCGqoLKgXW5rzjDcjJSQJv3FC5,0.0002272273623344256,14393.906964264741,9999999893.590603,2272273.5991651295,9999999893.590603,2272273.5991651295,,500,LOW RISK
BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,,BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,360,-62.655601659751035,1674,,1321,276.3532763532763,146,-31.775700934579437,1668,,1670,,964,0,351,214,0,0,0.00029325080015913453,0.0010606912868004338,0.00029325080015913453,0.0008257076257474372,0.0011682949788494599,0.00029325080015913453,0.00029325080015913453,0.00029325080015913453,763,2024-12-04T23:16:26,1733354186,1,0.001214888489933318,308.61677957316846,12.97085123583703,308.61677957316846,45.120613921679364,2.565875688592369,308.61677957316846,308.61677957316846,308.61677957316846,348,-47.11246200607903,1204,,1006,403,137,-35.07109004739337,1203,,1203,,658,0,200,211,0,0,708,-56.35018495684341,2878,,2327,322.32304900181487,283,-33.411764705882355,2871,,2873,,1622,0,551,425,0,0,390,-45.90846047156727,1098,,969,286.0557768924303,151,-47.01754385964912,1098,,1098,,721,0,251,285,0,0,151457289.54316425,-53.4961494822088,221963.64096376143,1188637843.7346408,,972863.0147509691,477078668.20984936,-33.185061515854194,695161.7964010793,75887925.68011193,0.42154889332840195,120975.4588773378,1187888253.3654847,,971936.1857407701,1188074143.851327,,972163.5000680999,74791201.21963695,-54.10908918650323,110101.385158686,802582074.5341276,,504364.3047714115,237676128.61101824,-58.044977191165195,347289.2059402444,37356183.04143777,-0.2105919553337198,59932.56332041402,801924789.0786626,,503551.1178840308,802110679.5645046,,503778.4322113606,162976066.27071008,237322.49362169707,0,0,566502203.3094184,158968.9709532646,37435018.17819877,50168.82183827307,0,0,0,0,325687632.0063443,473303.74674588826,0,0,714029944.5505784,280604.280388066,75569363.86305192,100988.1820864249,0,0,0,0,76666088.32352732,-52.882213395886914,111862.25580507542,386055769.2005132,,468498.7099795576,239402539.59883115,62.27628619859752,347872.5904608349,38531742.63867416,1.0420972136381723,61042.89555692378,385963464.2868222,,468385.06785673933,385963464.2868222,,468385.06785673933,162711565.7356342,235981.25312419116,0,0,147527741.24115998,121635.30943480144,38134345.68485316,50819.36024815184,0,0,0,0,,2024-12-04 21:04:31,BATTLeq6Pzy1qf4cWrh9xGbqQz7SdHtNDK7bQ94oarj2,0.0012179860909936984,85339.79333796423,999999972.59049,1217986.0576092964,999999972.59049,1217986.0576092964,,3167,LOW RISK
9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,,9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,120,-58.333333333333336,675,,407,51.301115241635685,64,14.285714285714285,675,,675,,288,0,269,56,0,0,0.000363595713045528,0.000497464217807922,0.000363595713045528,0.0002944646048621832,0.0006566472960380414,0.000363595713045528,0.000363595713045528,0.000363595713045528,385,2024-12-04T23:16:21,1733354181,1,0.000528974057153707,33.24462975308852,-2.6117368239181795,33.24462975308852,64.52631441811513,-26.220397987057403,33.24462975308852,33.24462975308852,33.24462975308852,50,-75.49019607843137,361,,254,137.38317757009347,20,-33.33333333333333,361,,361,,204,0,107,30,0,0,170,-65.4471544715447,1036,,661,75.79787234042553,84,-2.3255813953488373,1036,,1036,,492,0,376,86,0,0,100,-56.896551724137936,404,,291,61.66666666666667,53,-11.666666666666666,404,,404,,232,0,180,60,0,0,61111117.37934601,-82.70022488742073,34723.4471429716,1189947681.8883452,,544078.7814387245,414270160.1080613,-46.66698591012106,313879.4797771798,41323560.05118309,108.83608505011581,22797.18012646815,1189947681.8883452,,544078.7814387245,1189947681.8883452,,544078.7814387245,31439237.97808913,-82.47374280940211,17895.014674161444,689155968.260337,,286609.11751307384,210733874.95939592,-56.051858479116,159061.40911085947,16228970.199342066,6.697465392544971,8693.306574339751,689155968.260337,,286609.11751307384,689155968.260337,,286609.11751307384,179383639.2801252,141212.58806565322,0,0,479505771.27193403,128042.79568837621,15210267.778747063,9201.70809982153,0,0,0,0,353248045.0275332,279202.22626316326,0,0,776761199.7512771,230694.3889477066,19787557.328163087,11926.267016503225,0,0,0,0,29671879.401256885,-82.93389651912739,16828.432468810155,500791713.6280083,,257469.66392565068,203536285.14866537,-31.528152003854977,154818.07066632027,25094589.851841025,448.24125895733664,14103.873552128398,500791713.6280083,,257469.66392565068,500791713.6280083,,257469.66392565068,173864405.74740794,137989.63819751007,0,0,297255428.47934306,102651.5932593304,4577289.549416026,2724.5589166816953,0,0,0,0,,2024-12-04 20:23:59,9oDw3Q36a8mVHfPCSmxYBXE9iLeJjsCYu97JGpPwDvVZ,0.000528974057153707,91148.40492131546,999999999.999515,528974.0571534504,999999999.999515,528974.0571534504,,500,LOW RISK
87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,,87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,327,-24.65437788018433,1169,,762,251.15207373271892,125,-38.11881188118812,978,414.7368421052631,1169,,434,0,217,202,190,0,1.3290931374156964e-12,8.444021684202602e-12,1.3290931374156964e-12,4.819100717119218e-12,4.989544107745864e-12,4.684610302642153e-12,1.3290931374156964e-12,1.3290931374156964e-12,1596,2024-12-04T23:16:24,1733354184,1,4.912479771240371e-12,246.5252378746159,-45.45675830485667,246.5252378746159,-4.429406514705137,-7.694108789317079,-1.6856716255069824,246.5252378746159,246.5252378746159,193,-6.763285024154589,598,,400,270.3703703703704,61,-53.78787878787878,508,464.44444444444446,598,,207,0,108,132,90,0,520,-18.876755070202808,1767,,1162,257.53846153846155,186,-44.31137724550898,1486,430.71428571428567,1767,,641,0,325,334,280,0,331,-1.7804154302670623,790,,576,209.6774193548387,137,-39.38053097345133,690,366.21621621621625,790,,337,0,186,226,148,0,7252509178507215,-37.32341449191939,43803.6972371887,39061878908445640,,191611.6039884045,18817631932274904,160.50024947180438,125945.69634581306,2399340680502214.5,-50.561356328581496,12001.477261047174,26040291199041400,100.0497935236507,162307.4042804537,39061878908445640,,191611.6039884045,3195004852565516,-48.9989932948178,19156.658369533274,21987434411323748,,100910.64320987534,9453397901963110,163.7509743710115,63323.25621212701,1058178267443045.9,-50.478982486900904,5262.025844327678,13036618447022082,45.72350254491329,81418.22786680878,21987434411323748,,100910.64320987534,6264591738423219,44233.25055174271,0,0,3584213451536018.5,18099.619514578866,2136826585122450,13894.632525205538,8946133066630127,19469.689481101705,0,0,11571321442793308,82208.65181777327,0,0,7223652173243564,36366.355794537696,4853168498004978,31802.21997614157,13016904811732690,29281.47384598595,0,0,4057504325941699,-23.540399606176557,24647.03886765543,17074444497121890,,90700.96077852916,9364234030311794,157.29885145361914,62622.440133686054,1341162413059168.5,-50.62615620299605,6739.451416719497,13003672752019318,219.43998745848842,80889.1764136449,17074444497121890,,90700.96077852916,5306729704370090,37975.401266030545,0,0,3639438721707546,18266.736279958826,2716341912882528.5,17907.58745093603,4070771745102563,9811.784364884248,0,0,,2024-12-04 18:12:22,87hvYXgyGZ16FCCRrhZj45t1q5fgHp7cXj3EeMdDfFxz,4.912479771240371e-12,33479.412705171795,4.2069e+16,206663.11149631118,4.2069e+16,206663.11149631118,,500,LOW RISK
4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,,4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,1,-50,9414,,3,-99.72014925373134,1,,1075,-87.10876603909342,9414,,2,0,1072,0,8339,0,0.42511512923167066,3.655461653737329e-05,0.42511512923167066,3.67271722897578e-05,3.655461653737329e-05,3.5777045227181694,0.42511512923167066,0.42511512923167066,2703,2024-12-04T23:08:35,1733353715,1,3.609894751567031e-05,-99.99150630393913,-1.2218143533754808,-99.99150630393913,-1.6859051907793627,-1.2218143533754808,-99.99899074988568,-99.99150630393913,-99.99150630393913,3,0,1774,,6,-97.46835443037975,2,100,243,-84.12802090137164,1774,,3,0,237,1,1531,0,4,-20,11188,,9,-99.31245225362872,3,200,1318,-86.64640324214791,11188,,5,0,1309,1,9870,0,3,-40,2865,,8,-99.375,3,200,1079,-59.76882923191648,2865,,5,0,1280,1,2682,0,317828.71771803906,94.2442345287875,11.53053180885269,10118153324.12668,,4678846.782387096,481451.96168256743,-99.5821978629912,17.556401466457597,317779.9445404863,651446.1941004359,11.528754274512572,115715894.06612276,-98.84312304000665,1517991.0623896178,10118153324.12668,,4678846.782387096,159550.24919008405,-2.479671124378205,5.815401335440645,10014866135.430738,,2330985.5764401252,323157.4181215606,-97.59883271646186,11.840679296810066,159550.24920448157,1522198014920.4326,5.815401337811366,13781504.128771791,-99.86219990494193,230710.10474009928,10014866135.430738,,2330985.5764401252,163607.16891508407,6.025277958501616,0,0,13458346.710662555,230698.2640608023,1.0481569916009903e-05,3.5350922189536504e-10,10001084631.301971,2100275.471700025,0,0,163623.24394803905,6.025869650709537,0,0,115234442.10445252,1517973.5059881504,48.77320248631526,0.001777539529757562,10002437430.060562,3160855.71999748,0,0,158278.46852795497,984522.9800664063,5.715130473412046,103287188.69594198,,2347861.2059469707,158294.54356100684,-99.84446785568994,5.715722169647531,158229.69533600475,324319.3968699238,5.713352936701206,101934389.93735096,7435.074177885864,1287280.9576495185,103287188.69594198,,2347861.2059469707,16.07503295497736,0.0005916922079212128,0,0,101776095.39378996,1287275.241927348,48.77319200474535,0.00177753917624834,1352798.758591,1060580.2482974553,0,0,,2024-12-04 17:11:30,4FG9RZqimXxuN2zBMw3Bh4w9WD8dTg3umay5Bk5czfH5,3.609894751567031e-05,6159.123604458363,9999999996.520897,360989.4750311111,9999999996.520897,360989.4750311111,,400,LOW RISK
EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,1,-75,2472,,5,400,0,-100,6,-99.7566909975669,2472,,4,0,1,1,2466,0,0.0005925079947247952,3.6217976045087954e-08,0.0005925079947247952,3.512895221216099e-08,3.6217976045087954e-08,3.9747765565041274e-08,3.7353217241747296e-08,0.0005925079947247952,1512,2024-12-04T22:42:21,1733352141,1,3.696913885583543e-08,-99.99376057875156,2.073814603689443,-99.99376057875156,5.238179317724509,2.073814603689443,-6.990822764672449,-1.0284188314741127,-99.99376057875156,1,-50,630,,3,-62.5,0,-100,11,-98.22294022617125,630,,2,0,8,1,619,0,2,-66.66666666666666,3102,,8,-11.11111111111111,0,-100,17,-99.44894651539708,3102,,6,0,9,2,3085,0,6,0,1698,,7,-36.36363636363637,,-100,17,-98.99586532782044,1698,,6,0,11,2,1693,0,826972765.0002295,-61.5405321937742,30.572269496669513,9030106209457.209,,1152557.79514495,2977217716.8254857,-36.14796806630798,107.06314936538729,0,-100,0,7639900526.855238,-99.91532359041015,279.57099656464715,9030106209457.209,,1152557.79514495,826758453.48034,-61.546863279180386,30.564490909606064,8921900918742.508,,524390.1258041336,2976800098.937979,2193.188073664602,107.04829014746257,,,,3106610651.0326295,-99.96516781816332,112.00731564554997,8921900918742.508,,524390.1258041336,2150041645.452319,76.48379923779275,0,0,129810552.09226424,4.9590254979306785,826758453.4827313,30.564490909551623,8918794308091.469,524278.1184884879,0,0,2150244951.8200545,76.49087986804552,0,0,4662682810.027434,172.5078471985926,826972765.0025779,30.572269497113343,9022466308930.348,1152278.2241483845,0,0,214311.51988950509,5.413087783023758,0.0077785870634497715,108205290714.70146,,628167.6693408166,417617.8875064254,-99.99078690367294,0.014859217924716006,,,,4533289875.822609,-95.62727656537854,167.56368091909718,108205290714.70146,,628167.6693408166,203306.3677355051,0.0070806302527710585,0,0,4532872257.93517,167.54882170066193,214311.51984656617,0.007778587561720122,103672000838.87895,628000.1056598966,0,0,,2024-12-04 16:12:59,EoR3P4V7mAp2b2Fxr4BLEG2VAdX3jzketcvCQjvp6U1s,3.696913885583543e-08,5507.825680583166,8888888876095.383,328614.56713446113,8888888876095.383,328614.56713446113,,500,LOW RISK
8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,731,849.3506493506494,3984,,808,165.78947368421052,577,274.67532467532465,1112,68.22995461422087,1773,0.8532423208191127,77,0,304,154,661,1758,0.0004860848531637993,0.0012252953383217985,2.9515738248976116e-05,0.0012923257949116345,0.0016835487044298354,0.001173975982404583,0.0006877254971500584,0.0004517771315243772,748,2024-12-04T23:15:59,1733354159,1,0.001513641479378133,229.92419383972754,30.883672125463224,5333.411557081145,24.09498746307584,-4.742195520811244,36.605139901832054,133.19064653317136,254.97846643243696,559,816.3934426229508,2546,,621,177.23214285714286,392,134.7305389221557,845,54.1970802919708,1395,57.0945945945946,61,0,224,167,548,888,1290,834.7826086956521,6530,,1429,170.6439393939394,969,201.86915887850466,1957,61.869313482216704,3168,19.727891156462583,138,0,528,321,1209,2646,570,363.4146341463415,4354,,678,66.17647058823529,486,262.6865671641791,1034,35.51769331585846,1686,-28.19420783645656,123,0,408,134,763,2348,177895107.2301987,1563.6160250222113,337612.4762647413,1083291939.1693072,,847343.7553551528,188271888.61762145,292.31698114693626,350673.51909230265,127767036.23564473,154.88121465820214,248901.35906596048,236261625.913012,43.89916797319614,435536.50295398553,400480789.3853717,24.873987927658526,622077.8521414552,87514206.71258198,1523.6454976894552,166523.4922129473,580672870.2969446,,428019.0848516835,92561236.36383626,291.15509911936846,172879.5812551972,62511303.2852821,150.01617698938134,122366.26743881464,116224800.14511499,34.77857595608007,214957.0586941175,202458683.62448138,22.192869015337994,311271.07579969685,5389982.409160124,6800.090195327157,0,0,23663563.78127885,42077.47743891972,25002903.427299857,44157.2247741326,86233883.47936608,96314.01710557955,165687805.88912123,73095.80469503594,10693279.251612378,13463.128261107488,0,0,47989737.29539052,84862.98386168235,50128070.994553834,88711.1171987805,164185539.9449009,186488.3097292016,320707936.0814332,142508.44819350715,90380900.51761673,1604.2398945902573,171088.984051794,502619068.87236273,,419324.6705034692,95710652.2537852,293.44721519092684,177793.93783710545,65255732.95036262,159.72257807112672,126535.09162714584,120036825.76789701,53.988806922877295,220579.44425986803,198022105.7608903,27.739607440163898,310806.7763417583,5303296.842452254,6663.038065780331,0,0,24326173.514111668,42785.506422762635,25125167.56725398,44553.89242464791,77951656.46553482,90174.29262362207,155020130.19231197,69412.64349847121,,2024-12-04 05:55:19,8WqkrWX8gmLPzaeaRDfKx9m3ub8B15N2DBy7V2HSv9cc,0.001513641479378133,41855.63755856702,999999999.9956166,1513641.4793714979,999999999.9956166,1513641.4793714979,,500,LOW RISK
