timestamp,token_name,token_address,top_10_clusters_total,cluster_number,cluster_total_percentage,wallet_address,wallet_percentage
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,1,1.0,7YkZo4EoBo7TQGnSTVYToGwjTExrK3oEagKsu4Msf7sL,1.0
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,2,0.84,2zjtXXwGA7jV2aCFho6fr8zpPGe56DGchJEJXb6sAfPy,0.84
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,3,0.41,H9gbXXQcR9stVZyJmqy4F1dEbCsCuFx6wosfDRqSL92f,0.41
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,4,0.39,25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,0.17
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,4,0.39,26mp3nwL8Xd2iPSKUFzsd9gKP5rnDJcFUttrhvwK9eDx,0.13
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,4,0.39,EWK7PmszDYWXj2uBPxwuzCuEEDpJZwoPniA6MqRwZ2Be,0.09
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,5,0.38,DuDzbYFnY6BLppp2icaXaJs3qkNDuo645JYRCAHDPn9Q,0.38
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,6,0.36,AQd784oL29TMzTMEFNoSrxJXgfoJDSug1eSPm6s9F8KW,0.36
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,7,0.22,C7AoYHEaVGVPCBYZ8XPGFgzwc7yxogKx7xavg2x9LtHk,0.22
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,8,0.19,3SvTo9opj3pUqjh9YNbmV31ZrGTQ5Tz7VkrcEnZQgFcG,0.19
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,9,0.18,9aFpfx3ePWFPFK5MHfdCfEzgd6pNasccyjT7AybZaAk9,0.18
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,10,0.16,39v4YDC7beuX4dZ1JBWZ1CELGFdZ4BNuzK8kLQaZLASH,0.16
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,11,0.16,7FZcL9PV6EmNrFtQeDPpirYPvQmrB4G1NXJecF9WRUNH,0.16
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,12,0.15,8MTiZYNjV6ALDxnFssE1wdzGyzZGQVuZDLHMnu5zZk9G,0.15
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,13,0.14,8aoNGFFZRsorSDo1UJnuu16oNgZSVD7SuSTpokqp4PZc,0.14
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,14,0.14,9cDkQ1bN2krB1RtddVMfsy15y8o9PyD83NhheGNPwGGs,0.14
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,15,0.13,6j4cz85YpzR7Frd7NnApqYqYvmtyBvJtHshhk48GXutZ,0.13
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,16,0.13,ETj9cqafqtpTfYRPQYht7tgBqztk6R3etraXjs75tpQm,0.13
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,17,0.12,8rnn8LMp97Ls5whZm2TsJ7pzWDCFLXbRdxmA9YZfgxbQ,0.12
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,18,0.12,AZfbKzrEGmEsrd7F3V9oxfKtN5s3ATCuZprkSSY63JJW,0.12
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,19,0.12,4TzEjc471t875AucPR6q2bS875RVjwMnaaveV4CEp46L,0.12
2024-11-29 07:03:34,CHILLGRINCH**,61trovNRXxwEyDraZnyZA1U1XW5anmug5DjjDLR7pump,4.14,20,0.12,64U15kLiJWALQGCxDDXKRNd6XdNpec34eXQwxvNqNTzU,0.12
