Address,Error,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
4sfreTQUDjAs5kZLoUsvfj4UnB31wGRFiaQiCak9pump,,2024-10-27 18:22:57,0.00021089691605748323,50034.911109445675,1000000000.0,210896.91605748323,999999212.0,210896.74987071336
9H5yn2yFdhRjuN5kgAxp9ap4hwcv49kDoYfgzUgBdrv5,,2024-10-27 18:18:22,0.00026834346712733295,70048.88230237516,1000000000.0,268343.46712733293,1000000000.0,268343.46712733293
BaKUJRxCtx9ZqiKv2FuF8quA7gRpvrxfzeRiUusApGDG,,2024-10-27 18:14:40,0.0002494742198085089,61322.70332160013,1000000000.0,249474.21980850893,1000000000.0,249474.21980850893
BsD5k5NZPqRyhZZiZfEWHXcnNDa5y3TUU4Wxvhopump,,2024-10-27 18:06:35,0.0004416209542842437,78706.27947881672,1000000000.0,441620.9542842437,1000000000.0,441620.9542842437
6d5zHW5B8RkGKd51Lpb9RqFQSqDudr9GJgZ1SgQZpump,,2024-10-27 17:57:12,0.0009748086590024811,113843.18620549995,1000000000.0,974808.6590024811,1000000000.0,974808.6590024811
7LB1FgVXNsRchgQBgoKHg3gygLuoT64vcMbiHzta3fLG,,2024-10-27 17:56:41,0.0019312417559355657,90496.81439101687,1000000000.0,1931241.7559355656,1000000000.0,1931241.7559355656
FeYQWQL1s9kYVvNTb8ZnwamoZV8hTWxcAVNNfWadpump,,2024-10-27 17:56:28,0.0009679576243912723,115286.857264055,1000000000.0,967957.6243912723,1000000000.0,967957.6243912723
DuWanxAWtbgnvJM97ExXhMvm14L4Cd2iu3GoX7gg4mPW,,2024-10-27 16:58:52,0.0003205777159093523,57177.94213039754,1000000000.0,320577.7159093523,1000000000.0,320577.7159093523
DZju4QMCnrFvYKs3USD9jk2hWYjDPr91MqAzC7hpump,,2024-10-27 16:52:24,0.00140603736318044,306783.5416742341,206900000.0,290909.13044203306,206900000.0,290909.13044203306
CMLmpK94TjoVNDJKbyxwkyz4ZaUHGmw1V9aSNhnM4Ker,,2024-10-27 16:38:26,0.0026033211696581755,60097.17533022088,1000000000.0,2603321.1696581757,1000000000.0,2603321.1696581757
CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,,2024-10-27 16:00:54,7.012725715720847e-05,251221.40527763328,3200000000.0,224407.2229030671,3200000000.0,224407.2229030671
