datetime,address,h,o,l,c,type,v
2024-09-03 12:30:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,15m,0.0
2024-09-03 12:45:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,15m,478.079851045
2024-09-03 13:00:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,0.00013070558511410704,15m,0.0
2024-09-03 13:15:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001324900397301303,0.00013070558511410704,0.00013070558511410704,0.0001324900397301303,15m,1734455.001869205
2024-09-03 13:30:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001324900397301303,0.0001324900397301303,0.0001308448451749645,0.0001308448451749645,15m,583504.050109167
2024-09-03 13:45:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,15m,0.0
2024-09-03 14:00:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,15m,0.0
2024-09-03 14:15:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,15m,0.0
2024-09-03 14:30:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,0.0001308448451749645,15m,0.0
2024-09-03 14:45:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.0001308448451749645,0.0001308448451749645,0.00012698624630931183,0.00012698624630931183,15m,2360082.201115618
2024-09-03 15:00:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.00012698624630931183,0.00012698624630931183,0.00012587201926637259,0.00012636155714818985,15m,3481784.011421699
2024-09-03 15:15:00,A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,0.00012636155714818985,0.00012636155714818985,0.00012636155714818985,0.00012636155714818985,15m,0.0
